,cost,solution
1,96,1 4 6 8 11 12 14 15 17 20 21 22 23 27 28 29 31 34 37 38 43 45 46 47 50
2,96,1 4 5 6 7 8 11 12 14 15 27 28 29 30 31 33 34 37 39 42 44 46 47 48 50
3,95,1 4 5 6 8 10 11 12 15 21 22 23 27 28 29 30 31 33 34 36 37 38 43 46 48 50
4,98,1 2 7 9 13 16 18 19 20 24 25 26 27 33 35 36 39 40 41 42 44 45 47 49
5,93,1 6 7 13 15 19 20 25 26 27 28 29 30 31 32 33 34 35 36 37 40 42 43 44 47 48 49
6,96,1 4 5 6 8 11 12 15 17 23 27 28 29 30 31 34 36 37 39 42 44 46 47 48 50
7,99,1 4 5 6 8 10 11 12 14 15 17 21 22 23 27 28 29 30 31 34 37 38 39 46 48 50
8,95,1 4 6 8 11 12 14 15 16 17 20 21 22 23 27 29 31 32 34 37 38 43 45 46 47 48
9,91,1 4 5 6 11 13 14 15 17 18 23 24 25 27 28 29 30 32 42 44 47 48 49 50
10,99,1 4 5 6 8 10 11 12 14 15 17 21 22 23 27 28 29 30 31 34 37 38 39 46 48 50
11,96,1 4 5 6 8 10 11 12 13 14 15 17 23 27 28 29 30 31 32 37 38 42 43 46 48 50
12,90,1 2 6 7 11 12 13 16 19 20 25 27 28 32 33 34 35 36 37 42 43 44 45 47 48 49
13,93,1 6 7 13 15 19 20 25 26 27 28 29 30 31 33 34 35 36 37 40 42 43 44 47 48 49
14,98,1 4 5 6 7 8 10 11 12 14 15 21 22 27 28 29 30 31 33 34 37 39 46 48 50
15,92,1 4 6 7 11 15 19 20 21 25 26 27 28 30 31 33 34 35 36 37 39 42 44 47 48 49
16,95,1 4 5 6 7 8 11 12 14 15 27 28 29 30 31 33 34 37 39 42 44 47 48 49 50
17,96,1 2 5 8 9 10 13 16 17 18 19 22 23 24 26 36 38 39 40 41 44 45 49
18,92,1 5 6 7 8 11 12 13 15 17 19 23 24 27 28 29 30 36 42 43 44 47 48 49 50
19,97,1 2 7 9 13 16 18 19 20 22 24 25 26 27 33 35 36 39 40 41 43 44 45 47
20,99,1 4 5 6 8 10 11 12 14 15 17 21 22 23 27 28 29 30 31 34 37 38 39 46 48 50
21,95,1 2 9 10 13 16 18 19 20 21 22 23 24 25 26 33 35 36 37 38 39 40 41 45 46
22,98,1 4 5 6 7 8 10 11 12 14 15 21 22 27 28 29 30 31 33 34 37 39 46 48 50
23,98,1 4 5 6 8 10 11 12 14 15 17 23 27 28 29 30 31 34 37 39 42 46 48 50
24,98,1 2 3 5 7 9 13 16 18 19 20 24 25 26 33 35 36 39 40 41 42 44 45 47 49
25,98,1 2 7 9 13 16 18 19 20 24 25 26 33 35 36 39 40 41 42 44 45 47 49
26,98,1 4 5 6 8 10 11 12 14 15 17 23 27 28 29 30 31 34 37 39 42 46 48 50
27,99,1 4 5 6 8 10 11 12 14 15 17 21 22 23 27 28 29 30 31 34 37 38 39 46 48 50
28,98,1 2 7 9 13 16 18 19 20 24 25 26 27 33 35 36 39 40 41 42 44 45 47 49
29,95,1 4 5 6 7 11 12 14 15 25 27 28 29 30 31 33 34 35 37 39 42 44 46 47 48 50
30,90,1 2 5 6 8 11 12 13 14 16 17 20 23 24 27 28 29 36 39 42 44 45 47 48 49
31,96,1 2 5 9 10 13 16 17 18 22 23 24 25 26 30 35 36 38 39 40 41 46
