generation,count,mean,std,min,25%,50%,75%,max
1,2000,61.5985,5.6490,42,58.0,62.0,65.0,80
2,2000,61.8485,5.5217,46,58.0,62.0,65.0,80
3,2000,62.1030,5.4089,46,58.0,62.0,66.0,80
4,2000,62.3600,5.2917,49,59.0,62.0,66.0,80
5,2000,62.5955,5.1885,50,59.0,62.0,66.0,80
6,2000,62.8565,5.1248,50,59.0,63.0,66.0,80
7,2000,63.0950,4.9989,51,59.0,63.0,67.0,80
8,2000,63.3510,4.9570,53,60.0,63.0,67.0,80
9,2000,63.5675,4.9311,53,60.0,63.0,67.0,80
10,2000,63.7775,4.8670,54,60.0,63.0,67.0,80
11,2000,63.9840,4.8115,55,60.0,64.0,67.0,80
12,2000,64.2035,4.8487,55,61.0,64.0,67.0,81
13,2000,64.4605,4.8510,55,61.0,64.0,68.0,81
14,2000,64.6965,4.8327,55,61.0,64.0,68.0,81
15,2000,64.8980,4.7810,56,61.0,64.0,68.0,81
16,2000,65.1090,4.7544,56,62.0,64.0,68.0,81
17,2000,65.3060,4.7195,56,62.0,65.0,68.0,81
18,2000,65.4865,4.6549,57,62.0,65.0,69.0,81
19,2000,65.6800,4.6267,57,62.0,65.0,69.0,81
20,2000,65.8970,4.5935,57,62.0,65.0,69.0,81
21,2000,66.1145,4.5690,58,63.0,65.0,69.0,81
22,2000,66.3045,4.5492,58,63.0,66.0,69.0,81
23,2000,66.4765,4.4879,58,63.0,66.0,69.0,81
24,2000,66.6570,4.4752,59,63.0,66.0,70.0,81
25,2000,66.8185,4.4419,59,63.0,66.0,70.0,81
26,2000,66.9830,4.4037,59,64.0,66.0,70.0,81
27,2000,67.1410,4.3839,60,64.0,67.0,70.0,82
28,2000,67.3060,4.3861,60,64.0,67.0,70.0,82
29,2000,67.4575,4.3565,60,64.0,67.0,70.0,82
30,2000,67.6250,4.3623,60,64.0,67.0,70.0,82
31,2000,67.8120,4.3424,60,64.0,67.0,71.0,82
32,2000,67.9875,4.3091,61,65.0,67.0,71.0,86
33,2000,68.1455,4.2895,61,65.0,68.0,71.0,86
34,2000,68.2940,4.2790,61,65.0,68.0,71.0,86
35,2000,68.4425,4.2551,62,65.0,68.0,71.0,86
36,2000,68.6100,4.2859,62,65.0,68.0,71.0,86
37,2000,68.7600,4.3170,62,65.0,68.0,71.0,86
38,2000,68.9260,4.3400,62,66.0,68.0,71.0,86
39,2000,69.1025,4.3152,62,66.0,69.0,72.0,86
40,2000,69.2545,4.3139,62,66.0,69.0,72.0,86
41,2000,69.4215,4.3317,62,66.0,69.0,72.0,86
42,2000,69.5935,4.3528,63,66.0,69.0,72.0,86
43,2000,69.7410,4.3553,63,66.0,69.0,73.0,86
44,2000,69.8875,4.3664,63,67.0,69.0,73.0,86
45,2000,70.0225,4.3647,63,67.0,69.0,73.0,86
