generation,count,mean,std,min,25%,50%,75%,max
1,2000,3139.8185,70.0550,2915,3093.0,3139.0,3187.0,3352
2,2000,3141.7815,69.9132,2915,3095.0,3141.0,3189.0,3376
3,2000,3144.0265,69.1297,2939,3097.0,3143.0,3191.0,3376
4,2000,3146.1095,68.4551,2951,3100.75,3145.0,3193.0,3376
5,2000,3148.2095,67.8849,2951,3102.0,3147.0,3195.25,3376
6,2000,3150.5155,66.9460,2951,3105.0,3151.0,3197.25,3376
7,2000,3152.6195,66.2821,2951,3109.0,3152.5,3199.0,3376
8,2000,3154.6695,65.7362,2951,3111.0,3155.0,3200.0,3414
9,2000,3156.9285,65.0939,2958,3114.0,3156.0,3201.0,3414
10,2000,3158.9705,64.5506,2958,3117.0,3158.0,3203.0,3414
11,2000,3161.1255,64.1406,2969,3119.0,3160.5,3204.25,3414
12,2000,3163.0790,63.7541,2969,3120.0,3162.0,3206.0,3414
13,2000,3165.2195,62.8580,2969,3122.0,3163.0,3207.0,3414
14,2000,3167.2195,62.3524,2969,3124.0,3164.0,3209.0,3414
15,2000,3169.2715,61.3716,3023,3126.0,3165.0,3210.0,3414
16,2000,3171.1225,61.2277,3023,3128.0,3167.0,3212.0,3414
17,2000,3173.0430,60.5884,3037,3131.0,3170.0,3212.0,3414
18,2000,3175.0225,60.5503,3041,3132.0,3172.0,3213.0,3414
19,2000,3176.9375,60.3458,3042,3134.0,3173.0,3215.0,3414
20,2000,3178.5490,59.8209,3042,3137.0,3176.0,3216.0,3414
21,2000,3180.6920,59.2480,3042,3139.0,3177.0,3218.0,3423
22,2000,3182.5705,58.8295,3042,3141.0,3178.0,3221.0,3423
23,2000,3184.2425,58.5057,3056,3142.75,3180.5,3222.25,3423
24,2000,3186.2010,57.9442,3058,3144.0,3182.0,3223.25,3423
25,2000,3188.1610,57.4534,3058,3147.0,3183.0,3225.0,3423
26,2000,3189.8935,57.1130,3058,3149.0,3185.0,3226.0,3423
27,2000,3191.6895,56.5678,3058,3151.0,3186.0,3227.0,3423
