generation,continent,pool
1,1,-31592*1 -31084*1 -30912*1 -30688*1 -30356*1 -30124*1 -30096*1 -30080*1 -29980*1 -29968*1 -29796*1 -29792*1 -29768*1 -29516*1 -29504*1 -29492*1 -29436*1 -29392*1 -29328*1 -29292*1 -29280*1 -29216*1 -29196*1 -29192*1 -29144*1 -29124*1 -29072*1 -29036*1 -28988*1 -28948*1 -28892*1 -28848*1 -28836*1 -28824*1 -28804*1 -28792*1 -28648*1 -28596*1 -28524*1 -28516*2 -28404*1 -28344*1 -28312*1 -28268*1 -28244*1 -28188*1 -28132*1 -28048*1 -27844*1 -27780*1 -27768*1 -27704*1 -27624*1 -27600*1 -27548*1 -27528*1 -27380*1 -27300*1 -27248*1 -27112*1 -26876*1 -26868*1 -26816*1 -26512*1 -26268*1 -25544*1
2,1,-31592*1 -30524*1 -30404*1 -30356*1 -30060*1 -29932*1 -29824*1 -29796*1 -29768*1 -29516*1 -29504*1 -29492*1 -29436*1 -29392*2 -29388*1 -29328*1 -29292*1 -29280*1 -29268*1 -29216*1 -29196*1 -29192*1 -29144*1 -29124*1 -29072*1 -29036*1 -28988*1 -28948*1 -28892*1 -28848*1 -28836*1 -28824*1 -28804*1 -28648*1 -28596*1 -28556*1 -28516*2 -28468*1 -28436*1 -28404*1 -28344*1 -28268*1 -28244*1 -28200*1 -28188*1 -28132*1 -28048*1 -27844*1 -27780*1 -27768*1 -27704*1 -27624*1 -27600*1 -27548*1 -27528*1 -27380*1 -27292*1 -27248*1 -27080*1 -26876*1 -26868*1 -26816*1 -26268*1 -25640*1 -25544*1 7172*1
3,1,-31132*1 -30404*1 -30392*1 -30356*1 -30060*1 -29824*1 -29532*1 -29504*1 -29492*1 -29436*1 -29392*2 -29388*1 -29328*1 -29292*1 -29280*1 -29220*1 -29216*1 -29196*1 -29192*1 -29144*1 -29124*1 -29072*1 -29056*1 -29036*1 -29012*1 -28988*1 -28892*1 -28848*1 -28836*1 -28824*1 -28804*1 -28780*1 -28648*1 -28516*1 -28492*1 -28468*1 -28436*1 -28412*1 -28376*1 -28344*1 -28268*1 -28244*1 -28200*1 -28188*1 -28132*1 -28060*1 -28048*1 -27844*1 -27780*1 -27768*1 -27600*1 -27548*1 -27528*1 -27380*1 -27360*1 -27292*1 -27248*3 -27080*1 -26876*1 -26868*1 -26816*1 -25640*1 -25544*2 7172*1
4,1,-31032*1 -30280*1 -29560*1 -29532*1 -29512*1 -29492*1 -29436*1 -29392*2 -29388*1 -29328*1 -29292*1 -29280*1 -29220*1 -29216*1 -29212*1 -29192*1 -29180*1 -29148*1 -29124*1 -29112*1 -29072*1 -29056*1 -29036*1 -29012*1 -28988*1 -28848*1 -28844*1 -28836*1 -28824*1 -28804*1 -28780*1 -28648*1 -28516*1 -28492*1 -28468*1 -28436*1 -28412*1 -28244*1 -28224*1 -28200*1 -28196*1 -28188*1 -28184*1 -28132*1 -28060*1 -28048*1 -27844*1 -27768*1 -27636*1 -27600*1 -27548*1 -27528*1 -27360*1 -27292*1 -27248*3 -27088*1 -27080*1 -26876*1 -26868*2 -26816*1 -25544*2 -25408*1 7172*1
5,1,-29812*1 -29736*1 -29560*1 -29532*1 -29512*1 -29492*1 -29436*1 -29392*2 -29388*1 -29328*1 -29280*1 -29220*1 -29216*1 -29212*1 -29192*1 -29148*1 -29124*1 -29072*1 -29056*1 -29036*1 -29012*1 -28988*1 -28924*1 -28848*1 -28844*1 -28824*2 -28780*1 -28708*1 -28672*1 -28648*1 -28516*1 -28468*1 -28436*1 -28412*1 -28244*1 -28224*1 -28200*1 -28184*1 -28136*1 -28132*1 -28060*1 -28036*1 -27900*1 -27848*1 -27844*1 -27768*1 -27600*1 -27548*1 -27528*1 -27292*1 -27248*3 -27180*1 -27088*1 -27080*1 -27028*1 -26876*1 -26868*2 -26816*1 -26724*1 -25544*2 -25408*1 7172*1
6,1,-29736*1 -29560*1 -29532*1 -29444*1 -29436*1 -29404*1 -29392*2 -29388*1 -29328*1 -29280*1 -29220*1 -29216*1 -29212*1 -29192*1 -29124*1 -29092*1 -29072*1 -29056*1 -29036*1 -29012*1 -28988*1 -28924*1 -28848*1 -28844*1 -28824*1 -28780*1 -28708*1 -28672*2 -28648*1 -28516*2 -28468*1 -28436*1 -28412*1 -28244*1 -28224*1 -28184*1 -28132*1 -28060*1 -28036*1 -27900*1 -27848*1 -27844*1 -27672*1 -27528*1 -27248*3 -27184*1 -27180*1 -27080*1 -27028*1 -26912*1 -26900*1 -26876*1 -26868*2 -26860*1 -26848*1 -26724*1 -26492*1 -26436*1 -25544*2 -25408*1 7172*1
7,1,-29736*1 -29560*1 -29532*1 -29444*1 -29392*1 -29388*1 -29328*1 -29316*1 -29280*1 -29220*1 -29212*1 -29160*1 -29124*1 -29092*1 -29072*1 -29056*1 -29036*1 -29012*1 -28988*1 -28924*1 -28880*1 -28848*1 -28824*1 -28776*1 -28708*1 -28672*2 -28648*1 -28516*2 -28512*1 -28468*1 -28436*2 -28412*1 -28256*1 -28244*1 -28132*1 -28060*1 -28036*1 -27900*1 -27848*1 -27844*1 -27836*1 -27672*1 -27460*1 -27304*1 -27248*3 -27184*1 -27180*1 -27080*1 -26912*1 -26900*1 -26876*1 -26868*2 -26860*1 -26848*1 -26592*1 -26492*1 -26436*1 -26408*1 -25544*2 -25408*1 7172*1
8,1,-29736*1 -29560*1 -29532*1 -29388*1 -29328*1 -29316*1 -29280*2 -29220*1 -29212*1 -29160*1 -29124*1 -29072*1 -29056*1 -29036*1 -29012*1 -28968*1 -28924*1 -28880*1 -28848*1 -28672*2 -28648*1 -28604*1 -28516*1 -28512*2 -28504*1 -28468*1 -28436*2 -28412*1 -28384*1 -28256*1 -28244*1 -28160*1 -28060*1 -28036*1 -27968*1 -27964*1 -27836*1 -27328*1 -27304*1 -27292*1 -27248*3 -27192*1 -27184*1 -27180*1 -27168*1 -27136*1 -27080*1 -26900*1 -26876*1 -26868*2 -26860*1 -26848*1 -26592*1 -26544*1 -26492*1 -26436*1 -26408*1 -25544*1 -25408*2 7172*1
9,1,-29668*1 -29460*1 -29388*1 -29328*1 -29316*1 -29280*2 -29272*1 -29220*1 -29212*1 -29160*1 -29124*1 -29072*1 -29056*1 -29036*1 -29008*1 -28968*1 -28924*1 -28880*1 -28848*1 -28672*1 -28648*1 -28604*1 -28512*2 -28504*1 -28436*2 -28412*1 -28384*1 -28256*1 -28244*1 -28160*1 -28060*1 -28036*1 -27968*1 -27964*1 -27724*1 -27588*1 -27328*1 -27292*1 -27256*1 -27248*3 -27192*1 -27180*2 -27168*1 -27136*1 -27080*1 -26876*1 -26868*2 -26860*1 -26848*1 -26712*1 -26656*1 -26592*1 -26544*1 -26512*1 -26436*1 -26408*1 -25408*3 -25108*1 7172*1
10,1,-29460*1 -29280*2 -29272*1 -29220*1 -29212*1 -29164*1 -29160*1 -29124*1 -29088*1 -29072*1 -29056*1 -29036*2 -28968*1 -28880*1 -28800*1 -28712*1 -28672*1 -28648*1 -28604*1 -28512*2 -28504*1 -28436*2 -28384*1 -28256*1 -28160*1 -28148*2 -28060*1 -28036*1 -27964*1 -27868*1 -27724*1 -27664*1 -27588*1 -27380*1 -27328*1 -27292*1 -27256*1 -27248*3 -27192*1 -27180*2 -27168*1 -27136*1 -26876*1 -26868*1 -26860*1 -26848*1 -26660*1 -26592*1 -26544*1 -26512*1 -26436*1 -26408*1 -26384*1 -26324*1 -26236*1 -25408*3 -25108*1 7172*1
11,1,-29460*1 -29280*1 -29272*1 -29220*1 -29212*1 -29164*1 -29088*1 -29072*1 -29056*1 -28980*1 -28968*1 -28880*1 -28800*1 -28772*1 -28712*1 -28648*1 -28604*1 -28512*2 -28504*1 -28460*1 -28436*2 -28392*1 -28384*1 -28148*2 -28060*1 -28036*1 -27964*1 -27904*1 -27872*1 -27868*1 -27748*1 -27724*1 -27664*1 -27568*1 -27380*1 -27328*1 -27256*1 -27248*3 -27192*1 -27180*1 -27168*1 -27136*1 -27112*1 -26868*1 -26860*1 -26848*1 -26840*1 -26736*1 -26660*1 -26544*1 -26528*1 -26512*1 -26436*1 -26408*1 -26384*1 -26236*1 -26060*1 -25868*1 -25408*3 -25108*1 7172*1
12,1,-29280*1 -29272*1 -29164*1 -29148*1 -29088*1 -29072*1 -29056*1 -28980*1 -28968*1 -28880*1 -28800*1 -28772*1 -28712*1 -28648*1 -28604*1 -28512*2 -28480*1 -28460*1 -28436*1 -28412*1 -28192*1 -28148*2 -27964*1 -27932*1 -27904*2 -27872*1 -27824*1 -27812*1 -27780*1 -27748*1 -27724*1 -27712*1 -27664*1 -27568*1 -27380*1 -27328*1 -27256*1 -27248*3 -27192*1 -27168*1 -27136*1 -26868*1 -26860*1 -26848*1 -26840*1 -26736*1 -26660*1 -26544*1 -26528*1 -26516*1 -26512*1 -26436*1 -26416*1 -26408*1 -26236*2 -26060*1 -25408*2 -25328*1 -25108*2 7172*1
13,1,-29280*1 -29148*1 -29092*1 -29088*1 -29056*1 -28980*1 -28880*1 -28800*1 -28772*1 -28712*1 -28704*1 -28648*1 -28512*2 -28480*1 -28460*1 -28436*1 -28328*1 -28240*1 -28192*2 -28148*2 -27960*1 -27932*1 -27872*1 -27824*1 -27812*1 -27780*1 -27748*1 -27724*1 -27712*1 -27692*1 -27568*1 -27536*1 -27380*1 -27328*1 -27248*2 -27192*1 -27156*1 -27136*1 -27128*1 -27092*1 -26964*1 -26860*1 -26848*1 -26840*1 -26736*1 -26660*1 -26612*1 -26580*1 -26544*1 -26528*1 -26516*1 -26512*1 -26436*1 -26416*1 -26236*2 -26060*1 -25668*1 -25408*2 -25328*1 -25108*2 7172*1
