generation,count,mean,std,min,25%,50%,75%,max
1,200,247.0600,10.5947,217.0,240.0,247.0,254.0,271.0
2,200,248.0450,10.6570,217.0,241.0,248.0,255.25,277.0
3,200,248.9950,10.8185,221.0,241.0,249.0,256.0,282.0
4,200,250.0650,11.1779,221.0,241.75,249.0,258.0,282.0
5,201,250.8458,11.4062,225.0,242.0,251.0,258.0,282.0
6,201,251.8607,11.4691,230.0,243.0,251.0,259.0,282.0
7,201,252.9154,11.5852,231.0,243.0,252.0,259.0,282.0
8,202,254.0396,11.4200,232.0,245.0,255.5,260.0,282.0
9,203,254.7931,11.7248,227.0,245.5,256.0,262.0,286.0
10,203,255.7783,11.8114,233.0,246.0,256.0,263.0,286.0
11,203,256.7340,11.9660,233.0,247.0,258.0,263.5,286.0
12,203,257.7241,12.0926,233.0,247.5,258.0,264.0,286.0
13,204,258.4755,12.0076,239.0,249.0,258.0,264.0,289.0
14,204,259.4510,12.0664,239.0,251.75,258.0,266.0,290.0
15,205,260.5805,12.6588,241.0,252.0,259.0,267.0,299.0
16,205,261.3415,12.7002,241.0,253.0,259.0,269.0,299.0
17,205,262.2049,13.0086,241.0,253.0,259.0,269.0,300.0
18,205,263.0341,12.8175,241.0,256.0,259.0,274.0,300.0
19,205,263.9171,13.1010,243.0,256.0,260.0,275.0,300.0
20,205,264.9024,13.2050,243.0,256.0,260.0,275.0,300.0
21,205,265.8585,13.5818,245.0,256.0,261.0,275.0,301.0
22,205,266.8390,14.0681,247.0,256.0,262.0,276.0,302.0
23,205,267.9171,14.4517,247.0,257.0,264.0,276.0,304.0
24,207,268.3816,15.1790,220.0,257.0,264.0,278.5,304.0
25,207,269.2415,15.1785,220.0,257.5,264.0,280.0,304.0
26,207,270.1256,15.4431,226.0,258.0,265.0,280.0,305.0
27,207,271.0193,16.0033,226.0,258.0,265.0,283.0,307.0
28,207,271.8357,16.4353,226.0,258.0,266.0,283.5,307.0
29,208,272.5529,16.9542,226.0,258.0,266.0,287.0,307.0
30,208,273.4279,17.1195,226.0,259.0,266.0,287.0,307.0
31,208,274.2548,17.3374,226.0,259.75,269.5,288.0,307.0
32,209,274.8565,17.3751,226.0,260.0,270.0,290.0,307.0
33,209,275.5981,17.4629,226.0,261.0,272.0,291.0,307.0
34,209,276.5024,17.7163,226.0,262.0,273.0,291.0,307.0
35,209,277.2967,17.8088,226.0,264.0,276.0,291.0,307.0
36,209,277.9952,17.8986,226.0,264.0,276.0,293.0,307.0
37,209,278.8038,17.8324,226.0,264.0,277.0,293.0,307.0
38,209,279.5885,17.9396,226.0,264.0,277.0,295.0,307.0
39,209,280.4785,17.9283,226.0,266.0,278.0,296.0,308.0
40,209,281.2871,18.0532,226.0,266.0,279.0,297.0,308.0
41,209,282.0813,18.1415,226.0,267.0,279.0,298.0,308.0
42,210,282.6619,18.0643,226.0,267.25,280.0,298.0,308.0
43,210,283.5667,18.3222,226.0,268.0,281.0,303.75,308.0
44,210,284.4190,18.2362,226.0,268.0,282.0,306.0,308.0
45,210,285.3048,17.9188,226.0,268.0,283.0,307.0,308.0
46,210,286.3048,17.7587,226.0,270.0,284.0,307.0,308.0
47,210,287.1524,17.5934,226.0,270.0,286.0,307.0,308.0
48,210,288.1381,17.3725,226.0,276.0,288.5,307.0,308.0
49,210,288.9476,17.0973,226.0,277.0,293.0,307.0,308.0
50,210,289.7143,16.9715,226.0,277.0,294.0,307.0,308.0
51,210,290.4095,16.7972,226.0,278.0,295.0,307.0,308.0
52,210,291.2429,16.4948,226.0,279.0,296.0,307.0,308.0
53,210,292.0476,16.1081,226.0,279.25,297.0,307.0,308.0
54,210,292.8619,15.5189,226.0,280.0,297.0,307.0,308.0
55,210,293.7238,15.1433,226.0,280.25,297.0,307.0,308.0
56,210,294.5619,14.8265,226.0,283.0,298.0,307.0,308.0
57,210,295.2714,14.3510,226.0,284.0,299.0,307.0,308.0
58,210,296.0571,14.0190,226.0,287.0,301.0,307.0,308.0
59,210,296.9524,13.3627,226.0,289.0,303.0,307.0,308.0
60,210,297.9667,12.8206,226.0,290.0,305.0,307.0,308.0
61,210,298.6429,12.5820,226.0,290.0,307.0,308.0,308.0
62,210,299.6333,12.1468,226.0,291.0,307.0,308.0,308.0
63,210,300.5429,11.6984,226.0,292.0,307.0,308.0,308.0
64,210,301.3048,11.1948,226.0,295.0,307.0,308.0,308.0
65,210,301.9048,10.6371,226.0,296.0,307.0,308.0,308.0
66,210,302.5095,10.1582,226.0,296.0,307.0,308.0,308.0
67,210,303.2762,9.6884,226.0,299.5,307.0,308.0,310.0
68,210,304.0571,9.4300,226.0,307.0,307.0,308.0,311.0
69,210,304.7286,9.2114,226.0,307.0,307.0,308.0,311.0
70,210,305.5429,8.9416,226.0,307.0,308.0,308.0,311.0
71,211,305.9005,10.3369,226.0,307.0,308.0,308.0,311.0
72,211,306.3081,10.2202,226.0,307.0,308.0,308.5,311.0
73,211,306.8673,10.1330,226.0,307.0,308.0,311.0,311.0
74,212,307.2783,10.1273,226.0,308.0,308.0,311.0,311.0
75,212,307.6934,10.1592,226.0,308.0,309.0,311.0,311.0
76,213,308.2207,10.0767,226,308.0,311.0,311.0,311
77,213,308.6620,10.0732,226,308.0,311.0,311.0,311
78,213,309.0516,10.0954,226,311.0,311.0,311.0,311
79,213,309.3944,10.1006,226,311.0,311.0,311.0,311
