,count,mean,std,min,25%,50%,75%,max
0,200,247.06,10.5947,217.0,240.0,247.0,254.0,271.0
1,200,248.045,10.657,217.0,241.0,248.0,255.25,277.0
2,200,248.995,10.8185,221.0,241.0,249.0,256.0,282.0
3,200,250.065,11.1779,221.0,241.75,249.0,258.0,282.0
4,201,250.8458,11.4062,225.0,242.0,251.0,258.0,282.0
5,201,251.8607,11.4691,230.0,243.0,251.0,259.0,282.0
6,201,252.9154,11.5852,231.0,243.0,252.0,259.0,282.0
7,202,254.0396,11.42,232.0,245.0,255.5,260.0,282.0
8,203,254.7931,11.7248,227.0,245.5,256.0,262.0,286.0
9,203,255.7783,11.8114,233.0,246.0,256.0,263.0,286.0
10,203,256.734,11.966,233.0,247.0,258.0,263.5,286.0
11,203,257.7241,12.0926,233.0,247.5,258.0,264.0,286.0
12,204,258.4755,12.0076,239.0,249.0,258.0,264.0,289.0
13,204,259.451,12.0664,239.0,251.75,258.0,266.0,290.0
14,205,260.5805,12.6588,241.0,252.0,259.0,267.0,299.0
15,205,261.3415,12.7002,241.0,253.0,259.0,269.0,299.0
16,205,262.2049,13.0086,241.0,253.0,259.0,269.0,300.0
17,205,263.0341,12.8175,241.0,256.0,259.0,274.0,300.0
18,205,263.9171,13.101,243.0,256.0,260.0,275.0,300.0
19,205,264.9024,13.205,243.0,256.0,260.0,275.0,300.0
20,205,265.8585,13.5818,245.0,256.0,261.0,275.0,301.0
21,205,266.839,14.0681,247.0,256.0,262.0,276.0,302.0
22,205,267.9171,14.4517,247.0,257.0,264.0,276.0,304.0
23,207,268.3816,15.179,220.0,257.0,264.0,278.5,304.0
24,207,269.2415,15.1785,220.0,257.5,264.0,280.0,304.0
25,207,270.1256,15.4431,226.0,258.0,265.0,280.0,305.0
26,207,271.0193,16.0033,226.0,258.0,265.0,283.0,307.0
27,207,271.8357,16.4353,226.0,258.0,266.0,283.5,307.0
28,208,272.5529,16.9542,226.0,258.0,266.0,287.0,307.0
29,208,273.4279,17.1195,226.0,259.0,266.0,287.0,307.0
30,208,274.2548,17.3374,226.0,259.75,269.5,288.0,307.0
31,209,274.8565,17.3751,226.0,260.0,270.0,290.0,307.0
32,209,275.5981,17.4629,226.0,261.0,272.0,291.0,307.0
33,209,276.5024,17.7163,226.0,262.0,273.0,291.0,307.0
34,209,277.2967,17.8088,226.0,264.0,276.0,291.0,307.0
35,209,277.9952,17.8986,226.0,264.0,276.0,293.0,307.0
36,209,278.8038,17.8324,226.0,264.0,277.0,293.0,307.0
37,209,279.5885,17.9396,226.0,264.0,277.0,295.0,307.0
38,209,280.4785,17.9283,226.0,266.0,278.0,296.0,308.0
39,209,281.2871,18.0532,226.0,266.0,279.0,297.0,308.0
40,209,282.0813,18.1415,226.0,267.0,279.0,298.0,308.0
41,210,282.6619,18.0643,226.0,267.25,280.0,298.0,308.0
42,210,283.5667,18.3222,226.0,268.0,281.0,303.75,308.0
43,210,284.419,18.2362,226.0,268.0,282.0,306.0,308.0
44,210,285.3048,17.9188,226.0,268.0,283.0,307.0,308.0
45,210,286.3048,17.7587,226.0,270.0,284.0,307.0,308.0
46,210,287.1524,17.5934,226.0,270.0,286.0,307.0,308.0
47,210,288.1381,17.3725,226.0,276.0,288.5,307.0,308.0
48,210,288.9476,17.0973,226.0,277.0,293.0,307.0,308.0
49,210,289.7143,16.9715,226.0,277.0,294.0,307.0,308.0
50,210,290.4095,16.7972,226.0,278.0,295.0,307.0,308.0
51,210,291.2429,16.4948,226.0,279.0,296.0,307.0,308.0
52,210,292.0476,16.1081,226.0,279.25,297.0,307.0,308.0
53,210,292.8619,15.5189,226.0,280.0,297.0,307.0,308.0
54,210,293.7238,15.1433,226.0,280.25,297.0,307.0,308.0
55,210,294.5619,14.8265,226.0,283.0,298.0,307.0,308.0
56,210,295.2714,14.351,226.0,284.0,299.0,307.0,308.0
57,210,296.0571,14.019,226.0,287.0,301.0,307.0,308.0
58,210,296.9524,13.3627,226.0,289.0,303.0,307.0,308.0
59,210,297.9667,12.8206,226.0,290.0,305.0,307.0,308.0
60,210,298.6429,12.582,226.0,290.0,307.0,308.0,308.0
61,210,299.6333,12.1468,226.0,291.0,307.0,308.0,308.0
62,210,300.5429,11.6984,226.0,292.0,307.0,308.0,308.0
63,210,301.3048,11.1948,226.0,295.0,307.0,308.0,308.0
64,210,301.9048,10.6371,226.0,296.0,307.0,308.0,308.0
65,210,302.5095,10.1582,226.0,296.0,307.0,308.0,308.0
66,210,303.2762,9.6884,226.0,299.5,307.0,308.0,310.0
67,210,304.0571,9.43,226.0,307.0,307.0,308.0,311.0
68,210,304.7286,9.2114,226.0,307.0,307.0,308.0,311.0
69,210,305.5429,8.9416,226.0,307.0,308.0,308.0,311.0
70,211,305.9005,10.3369,226.0,307.0,308.0,308.0,311.0
71,211,306.3081,10.2202,226.0,307.0,308.0,308.5,311.0
72,211,306.8673,10.133,226.0,307.0,308.0,311.0,311.0
73,212,307.2783,10.1273,226.0,308.0,308.0,311.0,311.0
74,212,307.6934,10.1592,226.0,308.0,309.0,311.0,311.0
75,213,308.2207,10.0767,226.0,308.0,311.0,311.0,311.0
76,213,308.662,10.0732,226.0,308.0,311.0,311.0,311.0
77,213,309.0516,10.0954,226.0,311.0,311.0,311.0,311.0
78,213,309.3944,10.1006,226.0,311.0,311.0,311.0,311.0
79,200,247.53,11.5957,218.0,239.75,249.0,255.25,277.0
80,201,248.9254,13.3525,226.0,241.0,249.0,256.0,349.0
81,201,249.8955,13.3039,226.0,243.0,249.0,257.0,349.0
82,201,250.8905,13.1684,228.0,243.0,249.0,258.0,349.0
83,202,251.7525,13.1103,229.0,244.0,250.0,258.0,349.0
84,202,252.7624,13.2294,229.0,244.25,254.0,259.0,349.0
85,202,253.7079,13.5297,231.0,245.0,254.0,262.0,349.0
86,202,254.7178,13.1681,231.0,245.25,254.0,262.0,349.0
87,202,255.599,12.6944,233.0,247.0,255.0,262.75,349.0
88,202,256.4307,12.3332,233.0,249.0,255.0,263.0,349.0
89,203,257.2463,12.2417,233.0,249.0,256.0,263.0,349.0
90,203,258.0739,11.9992,238.0,250.5,257.0,264.0,349.0
91,203,258.9212,11.7942,239.0,252.5,257.0,264.0,349.0
92,203,259.8374,11.7287,239.0,254.0,258.0,265.0,349.0
93,203,260.7635,11.7597,241.0,254.0,260.0,265.0,349.0
94,203,261.5567,11.5776,244.0,254.0,261.0,265.0,349.0
95,204,262.1814,11.7243,241.0,255.0,261.0,267.0,349.0
96,204,263.098,11.6289,244.0,255.0,262.0,267.0,349.0
97,204,263.951,11.6102,244.0,255.0,262.0,268.25,349.0
98,205,264.6341,11.7042,239.0,255.0,263.0,269.0,349.0
99,205,265.5122,11.972,241.0,257.0,263.0,269.0,349.0
100,205,266.3659,12.4478,248.0,258.0,263.0,272.0,349.0
101,206,267.2476,13.1402,254.0,258.0,263.5,272.0,349.0
102,206,267.9563,13.4532,254.0,259.0,264.0,274.0,349.0
103,206,268.6602,13.8328,254.0,260.0,264.0,275.0,349.0
104,206,269.4417,14.0998,254.0,261.0,265.0,276.75,349.0
105,206,270.0825,14.4309,255.0,261.0,265.0,276.75,349.0
106,206,270.9369,14.9098,255.0,261.0,265.0,278.0,349.0
107,206,271.665,15.2712,255.0,261.0,265.0,280.0,349.0
108,206,272.3981,15.7144,255.0,261.25,268.0,280.0,349.0
109,206,273.1748,16.171,255.0,262.0,268.0,281.0,349.0
110,206,273.9078,16.2576,255.0,262.0,271.0,283.0,349.0
111,206,274.5777,16.4198,255.0,262.0,272.0,283.0,349.0
112,206,275.568,16.9427,255.0,262.0,272.0,284.0,349.0
113,206,276.4175,17.2906,255.0,262.25,272.0,285.0,349.0
114,206,277.1699,17.3277,255.0,263.0,272.0,286.5,349.0
115,206,277.9563,17.5144,255.0,263.0,273.0,287.0,349.0
116,206,278.9223,17.6556,256.0,263.0,274.5,292.0,349.0
117,206,279.7767,17.7401,256.0,265.0,275.0,294.75,349.0
118,206,280.5728,17.5555,259.0,265.0,276.0,295.0,349.0
119,208,281.3317,17.5791,259.0,265.0,276.0,295.0,349.0
120,209,282.0383,17.6776,257.0,265.0,276.0,298.0,349.0
121,209,282.8134,17.6229,262.0,268.0,277.0,300.0,349.0
122,209,283.5215,17.7092,262.0,269.0,277.0,305.0,349.0
123,210,284.1667,17.8965,262.0,269.0,279.5,305.0,349.0
124,210,285.0952,17.971,262.0,269.25,282.0,305.0,349.0
125,210,286.1714,17.7742,262.0,270.0,283.0,305.0,349.0
126,210,286.9857,17.8426,262.0,270.0,285.0,307.5,349.0
127,210,287.8048,17.7606,262.0,270.0,287.0,308.0,349.0
128,212,288.4575,18.1642,250.0,270.0,287.5,308.0,349.0
129,214,288.8832,18.3764,250.0,271.0,289.0,309.0,349.0
130,214,289.6495,18.314,254.0,272.0,290.0,310.0,349.0
131,214,290.4486,18.1378,258.0,272.0,291.0,310.0,349.0
132,214,291.3131,17.8399,264.0,272.0,291.5,310.0,349.0
133,214,292.1215,17.7564,264.0,273.0,293.0,310.0,349.0
134,214,293.014,17.6285,264.0,275.0,295.0,310.0,349.0
135,214,293.9439,17.5816,264.0,276.0,298.0,310.0,349.0
136,214,294.7804,17.3636,264.0,277.0,299.5,310.0,349.0
137,214,295.6402,17.3006,264.0,280.0,300.0,310.0,349.0
138,214,296.3645,17.0742,265.0,281.25,301.0,310.0,349.0
139,214,297.2804,16.7053,265.0,283.25,301.0,310.0,349.0
140,214,298.0374,16.5427,267.0,285.0,302.0,310.0,349.0
141,214,298.8551,16.2917,268.0,285.0,307.5,312.0,349.0
142,215,299.4512,16.1421,268.0,289.0,310.0,313.0,349.0
143,215,300.2093,15.9018,268.0,290.0,310.0,313.0,349.0
144,216,300.7407,15.6902,268.0,290.0,310.0,313.0,349.0
145,216,301.5741,15.3087,269.0,295.25,310.0,313.0,349.0
146,217,302.2442,15.0773,270.0,298.0,310.0,313.0,349.0
147,217,303.1751,14.6049,270.0,298.0,310.0,314.0,349.0
148,217,304.0138,13.9882,270.0,298.0,310.0,314.0,349.0
149,217,304.8479,13.7035,270.0,298.0,310.0,314.0,349.0
150,217,305.6406,13.1853,270.0,302.0,312.0,314.0,349.0
151,217,306.424,12.4594,270.0,302.0,313.0,314.0,349.0
152,218,307.1147,12.2392,270.0,302.0,313.0,314.0,349.0
153,218,307.8624,11.7257,270.0,306.0,313.0,314.0,349.0
154,218,308.7156,10.8984,270.0,306.0,313.0,314.0,349.0
155,218,309.5505,10.0712,270.0,309.0,314.0,314.0,349.0
156,218,310.2982,9.2402,273.0,310.0,314.0,315.0,349.0
157,218,311.0917,8.5211,273.0,310.0,314.0,315.0,349.0
158,219,311.6438,8.1088,273.0,310.0,314.0,316.0,349.0
159,219,312.3196,7.5515,273.0,313.0,314.0,316.0,349.0
160,219,313.137,6.7985,273.0,313.0,314.0,317.0,349.0
161,219,313.8402,6.1149,273.0,313.0,314.0,318.0,349.0
162,220,314.4682,6.1208,273.0,314.0,315.0,318.0,349.0
163,220,315.0636,5.8906,273.0,314.0,315.0,318.0,349.0
164,221,315.5701,5.7786,273.0,314.0,316.0,318.0,349.0
165,221,315.9231,5.7516,273.0,315.0,317.0,318.0,349.0
166,440,313.4523,9.574,226.0,311.0,314.0,318.0,349.0
167,440,313.725,9.4885,226.0,311.0,314.0,318.0,349.0
168,440,313.9659,9.4742,226.0,311.0,315.0,318.0,349.0
169,441,313.9705,10.3061,226.0,311.0,315.0,318.0,349.0
170,442,314.0679,10.4959,226.0,311.0,315.0,318.0,357.0
