generation,count,mean,std,min,25%,50%,75%,max
1,40,3127.5750,61.4750,3004.0,3091.25,3120.5,3165.25,3281.0
2,41,3138.1463,71.1188,3004.0,3094.0,3121.0,3180.0,3351.0
3,41,3142.8293,72.5072,3005.0,3102.0,3131.0,3180.0,3351.0
4,41,3147.0488,71.5042,3005.0,3102.0,3144.0,3180.0,3351.0
5,41,3151.7317,72.5714,3005.0,3102.0,3148.0,3213.0,3351.0
6,41,3156.6341,74.5801,3005.0,3102.0,3155.0,3215.0,3351.0
7,41,3162.1951,75.0870,3005.0,3102.0,3163.0,3215.0,3351.0
8,41,3167.1463,77.3074,3005.0,3104.0,3169.0,3216.0,3351.0
9,41,3170.2683,75.1276,3005.0,3108.0,3174.0,3216.0,3351.0
10,41,3174.0976,74.8661,3005.0,3119.0,3174.0,3230.0,3351.0
11,41,3179.0976,74.2801,3005.0,3120.0,3180.0,3230.0,3351.0
12,41,3183.6341,74.7241,3005.0,3126.0,3186.0,3230.0,3351.0
13,41,3189.9512,76.5862,3005.0,3126.0,3186.0,3230.0,3351.0
14,41,3194.2439,76.7775,3041.0,3126.0,3186.0,3249.0,3351.0
15,41,3199.6098,76.2023,3041.0,3126.0,3190.0,3254.0,3351.0
16,41,3203.4634,75.3071,3067.0,3126.0,3190.0,3254.0,3351.0
17,41,3209.8780,75.1739,3067.0,3143.0,3190.0,3281.0,3351.0
18,41,3213.6585,76.0673,3067.0,3143.0,3201.0,3281.0,3357.0
19,42,3218.2381,73.6010,3100.0,3165.25,3210.0,3278.25,3357.0
20,42,3221.5952,73.5783,3100.0,3172.75,3210.0,3280.0,3357.0
21,42,3225.0476,71.6587,3100.0,3179.25,3210.0,3283.75,3357.0
22,42,3229.7619,71.2559,3100.0,3191.25,3212.0,3286.0,3357.0
23,42,3234.5714,68.6490,3123.0,3191.75,3221.5,3286.75,3357.0
24,42,3238.2143,70.8377,3123.0,3193.25,3223.5,3286.75,3357.0
25,42,3241.0714,71.8591,3126.0,3193.25,3234.0,3287.0,3387.0
26,43,3249.1163,74.8030,3126.0,3206.5,3240.0,3306.0,3426.0
27,43,3253.8605,72.8797,3126.0,3211.5,3244.0,3306.0,3426.0
28,43,3257.6744,71.3101,3127.0,3217.0,3251.0,3307.5,3426.0
29,43,3261.5814,71.0427,3127.0,3220.0,3254.0,3307.5,3426.0
30,43,3265.9070,72.0247,3128.0,3220.0,3271.0,3321.5,3426.0
31,43,3269.4419,70.2656,3128.0,3221.5,3286.0,3321.5,3426.0
32,43,3272.6977,68.7461,3129.0,3224.5,3290.0,3321.5,3426.0
33,43,3277.1395,68.3244,3129.0,3224.5,3290.0,3323.5,3426.0
34,43,3281.0465,66.5736,3156.0,3229.5,3291.0,3323.5,3426.0
35,43,3284.8605,65.0306,3156.0,3230.0,3291.0,3323.5,3426.0
36,43,3290.2326,63.3873,3156.0,3243.5,3298.0,3323.5,3426.0
37,43,3295.0465,63.9702,3156.0,3256.5,3300.0,3326.0,3426.0
38,43,3298.3953,62.8722,3162.0,3266.0,3306.0,3326.5,3426.0
39,43,3301.9535,64.3935,3162.0,3268.5,3307.0,3328.0,3426.0
40,43,3306.5814,64.0276,3177.0,3268.5,3307.0,3337.5,3426.0
41,43,3310.4651,61.6184,3177.0,3275.5,3308.0,3341.5,3430.0
42,43,3314.6512,59.2114,3187.0,3287.0,3308.0,3363.0,3430.0
43,43,3319.3488,54.7948,3187.0,3294.0,3309.0,3363.0,3430.0
44,43,3323.7209,53.6147,3202.0,3294.0,3320.0,3363.0,3430.0
45,43,3327.4884,53.8540,3202.0,3298.5,3324.0,3367.5,3430.0
46,43,3329.9767,53.7837,3202.0,3300.5,3328.0,3375.0,3430.0
47,43,3334.5814,54.0420,3202.0,3303.0,3338.0,3384.0,3430.0
48,43,3338.2558,50.0885,3232.0,3303.0,3342.0,3384.0,3430.0
49,43,3341.7209,48.5800,3232.0,3305.0,3346.0,3384.0,3430.0
50,43,3344.8372,48.1999,3232.0,3305.0,3346.0,3384.0,3430.0
51,43,3347.8837,46.2628,3232.0,3313.0,3349.0,3386.0,3430.0
52,43,3351.9070,44.1512,3246.0,3316.5,3351.0,3388.0,3430.0
53,44,3358.4773,47.6076,3273,3330.5,3359.0,3388.0,3498
54,44,3361.7273,46.5869,3285,3336.25,3363.0,3388.0,3498
55,44,3366.4091,49.5441,3285,3342.0,3365.5,3388.0,3516
56,44,3370.1364,47.8046,3285,3346.0,3372.5,3388.0,3516
57,44,3373.4091,47.5660,3285,3346.0,3380.0,3388.0,3516
58,44,3377.7955,47.7973,3285,3353.0,3380.0,3388.75,3516
59,44,3379.8182,46.5224,3293,3354.0,3383.0,3391.0,3516
60,44,3384.3636,46.4924,3314,3363.0,3383.0,3391.0,3516
61,44,3388.4318,46.9440,3314,3364.75,3387.0,3394.5,3516
62,44,3391.0227,44.8364,3316,3367.25,3387.0,3394.5,3516
63,44,3394.0909,46.5532,3316,3368.0,3387.5,3402.25,3516
