generation,count,mean,std,min,25%,50%,75%,max
1,67,-28693.2537,1190.8136,-31592.0,-29414.0,-28824.0,-27812.0,-25544.0
2,68,-28065.6471,4480.8449,-31592.0,-29301.0,-28726.0,-27777.0,7172.0
3,68,-27960.5294,4467.4113,-31132.0,-29217.0,-28582.0,-27726.0,7172.0
4,68,-27854.5294,4444.6859,-31032.0,-29183.0,-28504.0,-27587.0,7172.0
5,68,-27752.6471,4425.2748,-29812.0,-29130.0,-28452.0,-27469.0,7172.0
6,68,-27652.5882,4424.3135,-29736.0,-29077.0,-28452.0,-27183.0,7172.0
7,68,-27578.8235,4413.1085,-29736.0,-29018.0,-28424.0,-27183.0,7172.0
8,68,-27481.1765,4401.8372,-29736.0,-28935.0,-28250.0,-27160.0,7172.0
9,68,-27375.2353,4403.6922,-29668.0,-28935.0,-28048.0,-27029.0,7172.0
10,68,-27275.1176,4386.4411,-29460.0,-28734.0,-27916.0,-26874.0,7172.0
11,68,-27161.3529,4369.3516,-29460.0,-28535.0,-27736.0,-26846.0,7172.0
12,68,-27062.4706,4355.9353,-29280.0,-28488.0,-27718.0,-26717.0,7172.0
13,68,-26960.5294,4338.5896,-29280.0,-28355.0,-27552.0,-26604.0,7172.0
14,68,-26873.4118,4327.5393,-29280.0,-28192.0,-27552.0,-26561.0,7172.0
15,68,-26806.4706,4324.1971,-29236.0,-28192.0,-27552.0,-26525.0,7172.0
16,68,-26737.6471,4316.4312,-29236.0,-28065.0,-27538.0,-26515.0,7172.0
17,68,-26645.8235,4298.1849,-28948.0,-27977.0,-27258.0,-26493.0,7172.0
18,68,-26549.0588,4307.0770,-28948.0,-27959.0,-27142.0,-26306.0,7172.0
19,68,-26480.9412,4316.2770,-28832.0,-27959.0,-27118.0,-26306.0,7172.0
20,68,-26370.8824,4304.0520,-28832.0,-27769.0,-26970.0,-25920.0,7172.0
21,68,-26311.7647,4305.0664,-28832.0,-27753.0,-26970.0,-25763.0,7172.0
22,68,-26207.0588,4304.8739,-28832.0,-27712.0,-26848.0,-25692.0,7172.0
23,68,-26117.1765,4296.0465,-28648.0,-27673.0,-26844.0,-25505.0,7172.0
24,68,-26046.7647,4282.5219,-28564.0,-27573.0,-26722.0,-25468.0,7172.0
25,68,-25958.4118,4255.8998,-28428.0,-27478.0,-26664.0,-25468.0,7172.0
26,68,-25863.4118,4242.7784,-28428.0,-27342.0,-26620.0,-25263.0,7172.0
27,68,-25766.8824,4238.9013,-28380.0,-27094.0,-26540.0,-25237.0,7172.0
28,68,-25712.1765,4241.8675,-28300.0,-27064.0,-26526.0,-25161.0,7172.0
29,68,-25640.0588,4242.1722,-28136.0,-27031.0,-26454.0,-25116.0,7172.0
30,68,-25541.2353,4236.4141,-28124.0,-27031.0,-26098.0,-25077.0,7172.0
31,69,-25505.9710,4210.9599,-28936.0,-26992.0,-26036.0,-25056.0,7172.0
32,69,-25411.8261,4186.8908,-28152.0,-26984.0,-25924.0,-25036.0,7172.0
33,69,-25321.1014,4190.2540,-28060.0,-26948.0,-25836.0,-24904.0,7172.0
34,69,-25212.8696,4192.0213,-28060.0,-26940.0,-25792.0,-24280.0,7172.0
35,69,-25115.8841,4179.2693,-28060.0,-26848.0,-25700.0,-24184.0,7172.0
36,69,-25020.4058,4176.3753,-28060.0,-26748.0,-25480.0,-24184.0,7172.0
37,70,-24485.2571,5656.0687,-28060.0,-26743.0,-25432.0,-24052.0,7172.0
38,70,-24395.0857,5638.7350,-28060.0,-26660.0,-25404.0,-23985.0,7172.0
39,70,-24295.8857,5612.8051,-27972.0,-26486.0,-25390.0,-23814.0,7172.0
