,count,mean,std,min,25%,50%,75%,max
0,67,-29116.4776,1405.6741,-33020.0,-30112.0,-28932.0,-28220.0,-25192.0
1,67,-28990.0896,1432.178,-33020.0,-30062.0,-28804.0,-28148.0,-25192.0
2,67,-28865.9701,1397.5708,-32336.0,-30020.0,-28692.0,-28148.0,-25192.0
3,68,-28721.6471,1496.9082,-32336.0,-29659.0,-28652.0,-28130.0,-23828.0
4,68,-28612.2353,1519.5055,-32336.0,-29489.0,-28564.0,-27993.0,-23828.0
5,68,-28527.1176,1536.963,-32336.0,-29318.0,-28558.0,-27474.0,-23828.0
6,68,-28417.7647,1534.6193,-32336.0,-29123.0,-28538.0,-27474.0,-23828.0
7,68,-28295.8235,1518.224,-31844.0,-29018.0,-28502.0,-27471.0,-23828.0
8,68,-28176.5882,1497.474,-31844.0,-29001.0,-28494.0,-27319.0,-23828.0
9,68,-28059.2353,1489.7913,-31844.0,-28900.0,-28432.0,-27204.0,-23828.0
10,68,-27970.1176,1471.1864,-31844.0,-28804.0,-28292.0,-26930.0,-23828.0
11,68,-27894.3529,1425.2373,-31844.0,-28745.0,-28264.0,-26850.0,-23828.0
12,68,-27809.0,1407.0554,-31844.0,-28688.0,-28258.0,-26770.0,-23828.0
13,68,-27706.8235,1394.7494,-31844.0,-28624.0,-28258.0,-26770.0,-23828.0
14,68,-27624.4118,1381.8876,-31844.0,-28562.0,-28040.0,-26736.0,-23828.0
15,68,-27517.6471,1347.0775,-31280.0,-28542.0,-27828.0,-26576.0,-23828.0
16,68,-27412.5882,1328.7549,-31280.0,-28462.0,-27300.0,-26507.0,-23828.0
17,68,-27342.2353,1333.1293,-31280.0,-28364.0,-27264.0,-26457.0,-23828.0
18,68,-27208.7647,1299.534,-31280.0,-28196.0,-27178.0,-26376.0,-23828.0
19,68,-27137.8824,1312.0301,-31280.0,-28190.0,-27150.0,-26194.0,-23828.0
20,68,-27058.5882,1311.3684,-31280.0,-28008.0,-27150.0,-26194.0,-23828.0
21,68,-27002.3529,1286.1272,-31016.0,-28008.0,-27084.0,-26151.0,-23828.0
22,68,-26906.0,1238.1069,-30220.0,-27745.0,-27030.0,-26119.0,-23828.0
23,68,-26825.4706,1236.8623,-30088.0,-27407.0,-26974.0,-26119.0,-23828.0
24,68,-26683.3529,1203.2856,-29312.0,-27386.0,-26834.0,-25796.0,-23584.0
25,68,-26567.9412,1198.5114,-28736.0,-27266.0,-26758.0,-25744.0,-23584.0
26,68,-26484.7647,1201.3436,-28736.0,-27242.0,-26590.0,-25726.0,-23584.0
27,68,-26383.2353,1252.1811,-28524.0,-27242.0,-26518.0,-25412.0,-23584.0
28,68,-26278.0,1255.4615,-28524.0,-27192.0,-26264.0,-25412.0,-23584.0
29,68,-26186.4118,1236.4187,-28524.0,-27041.0,-26166.0,-25412.0,-22992.0
30,68,-26104.1765,1235.7687,-28332.0,-27036.0,-26042.0,-25363.0,-22992.0
31,68,-26002.1765,1189.1426,-28256.0,-26907.0,-25940.0,-25281.0,-22992.0
32,68,-25887.5294,1128.0408,-28060.0,-26783.0,-25768.0,-25207.0,-22992.0
33,68,-25810.9412,1115.8051,-28060.0,-26716.0,-25708.0,-25192.0,-22992.0
34,68,-25713.0,1088.4478,-27744.0,-26564.0,-25672.0,-25192.0,-22992.0
35,68,-25602.6471,1026.525,-27636.0,-26355.0,-25612.0,-25001.0,-22992.0
36,68,-25511.0588,992.5343,-27260.0,-26252.0,-25520.0,-24852.0,-22992.0
37,68,-25383.2353,976.9116,-27260.0,-26160.0,-25382.0,-24688.0,-22992.0
38,68,-25272.6471,1001.77,-27036.0,-25834.0,-25372.0,-24663.0,-22412.0
39,68,-25199.7059,1005.1626,-27036.0,-25688.0,-25358.0,-24635.0,-22412.0
40,68,-25100.2941,996.4223,-26780.0,-25680.0,-25334.0,-24521.0,-22412.0
41,69,-24975.6522,1055.5859,-26772.0,-25604.0,-25192.0,-24460.0,-21560.0
42,70,-24914.5143,1105.1011,-26696.0,-25507.0,-25192.0,-24388.0,-21216.0
43,70,-24794.2286,1094.2747,-26696.0,-25463.0,-25066.0,-24388.0,-21216.0
44,70,-24680.8571,1132.1517,-26584.0,-25445.0,-25036.0,-24200.0,-21216.0
45,70,-24573.0286,1138.9768,-26584.0,-25387.0,-24874.0,-24032.0,-21216.0
