generation,continent,pool
1,0,-33020*1 -32348*1 -32336*1 -31644*1 -30936*1 -30756*1 -30688*1 -30580*1 -30540*1 -30396*1 -30356*1 -30336*1 -30224*1 -30220*1 -30168*1 -30124*2 -30100*1 -30080*1 -30068*1 -30012*1 -29768*1 -29668*1 -29600*1 -29592*1 -29524*1 -29512*1 -29492*1 -29344*1 -29236*1 -29056*1 -29016*1 -28948*1 -28932*1 -28832*1 -28804*1 -28756*1 -28692*1 -28668*1 -28572*1 -28560*1 -28556*1 -28548*1 -28520*1 -28416*1 -28324*1 -28316*1 -28312*1 -28300*1 -28264*1 -28176*1 -28140*1 -28136*1 -28100*1 -28092*1 -28068*1 -28024*1 -27692*1 -27668*1 -27592*1 -27516*1 -27468*1 -27332*1 -27052*1 -26836*1 -26536*1 -25192*1
1,1,-31592*1 -31084*1 -30912*1 -30688*1 -30356*1 -30124*1 -30096*1 -30080*1 -29980*1 -29968*1 -29796*1 -29792*1 -29768*1 -29516*1 -29504*1 -29492*1 -29436*1 -29392*1 -29328*1 -29292*1 -29280*1 -29216*1 -29196*1 -29192*1 -29144*1 -29124*1 -29072*1 -29036*1 -28988*1 -28948*1 -28892*1 -28848*1 -28836*1 -28824*1 -28804*1 -28792*1 -28648*1 -28596*1 -28524*1 -28516*2 -28404*1 -28344*1 -28312*1 -28268*1 -28244*1 -28188*1 -28132*1 -28048*1 -27844*1 -27780*1 -27768*1 -27704*1 -27624*1 -27600*1 -27548*1 -27528*1 -27380*1 -27300*1 -27248*1 -27112*1 -26876*1 -26868*1 -26816*1 -26512*1 -26268*1 -25544*1
2,0,-33020*1 -32348*1 -32336*1 -30868*1 -30756*1 -30688*1 -30580*1 -30540*1 -30396*1 -30344*1 -30336*1 -30220*1 -30168*1 -30124*2 -30100*1 -30080*1 -30044*1 -30028*1 -30012*1 -29768*1 -29600*1 -29564*1 -29524*1 -29512*1 -29492*1 -29344*1 -29188*1 -29056*1 -29016*1 -28996*1 -28968*1 -28948*1 -28804*1 -28756*1 -28692*1 -28668*1 -28572*1 -28560*1 -28556*1 -28520*1 -28488*1 -28324*1 -28316*1 -28312*1 -28300*1 -28268*1 -28264*1 -28176*1 -28156*1 -28140*1 -28136*1 -28100*1 -28092*1 -28068*1 -27736*1 -27692*1 -27516*2 -27332*1 -27280*1 -27156*1 -27052*1 -26952*1 -26420*1 -26136*1 -25192*1
3,0,-32336*2 -31788*1 -30756*1 -30580*1 -30484*1 -30344*2 -30336*1 -30220*1 -30168*1 -30124*2 -30100*1 -30080*1 -30044*1 -30028*1 -30012*1 -29956*1 -29600*1 -29564*1 -29512*1 -29500*1 -29492*1 -29056*1 -29024*1 -29016*1 -28996*1 -28980*1 -28968*2 -28948*1 -28756*1 -28692*1 -28668*1 -28636*1 -28572*1 -28560*1 -28556*1 -28520*1 -28504*1 -28488*1 -28324*1 -28316*1 -28312*1 -28300*1 -28268*1 -28264*1 -28176*1 -28156*1 -28140*1 -28136*1 -28100*1 -28092*1 -28068*1 -27516*2 -27280*1 -27156*1 -27144*1 -27076*1 -27052*1 -26952*1 -26780*1 -26136*1 -25832*1 -25192*1
4,0,-32336*2 -31436*1 -30752*1 -30580*1 -30344*2 -30336*1 -30256*1 -30220*1 -30168*1 -30124*2 -30100*1 -30080*1 -30028*1 -29956*1 -29560*1 -29524*1 -29500*1 -29492*1 -29108*1 -29072*1 -29056*1 -29024*1 -29016*1 -28996*1 -28980*1 -28968*2 -28948*1 -28692*1 -28676*1 -28668*1 -28636*1 -28572*1 -28560*1 -28556*1 -28520*1 -28504*1 -28488*1 -28412*1 -28324*1 -28316*1 -28312*1 -28300*1 -28268*1 -28264*1 -28176*1 -28156*1 -28140*1 -28100*1 -28092*1 -28068*1 -27516*2 -27368*1 -27280*1 -27156*1 -27076*1 -27052*1 -26952*1 -26856*1 -26780*1 -26136*1 -25832*1 -25192*1 -23828*1
5,0,-32336*2 -31436*1 -30508*1 -30444*1 -30344*2 -30336*1 -30256*1 -30220*1 -30168*1 -30124*1 -30100*1 -30080*1 -30028*1 -29956*1 -29492*1 -29488*1 -29104*1 -29080*1 -29056*1 -29024*1 -29016*1 -28996*1 -28980*1 -28968*3 -28916*1 -28852*1 -28676*1 -28636*1 -28572*1 -28568*1 -28560*1 -28556*1 -28520*1 -28504*1 -28500*1 -28488*1 -28360*1 -28324*1 -28312*1 -28268*1 -28264*1 -28176*1 -28156*1 -28140*1 -28100*1 -28092*1 -28008*1 -27948*1 -27656*1 -27516*2 -27324*1 -27284*1 -27156*1 -27076*1 -27044*1 -26952*1 -26856*1 -26780*1 -26136*1 -25832*2 -25192*1 -23828*1
6,0,-32336*2 -31064*1 -30444*1 -30344*3 -30336*1 -30220*1 -30168*1 -30124*1 -30104*1 -30100*1 -29956*1 -29892*1 -29488*1 -29468*1 -29268*1 -29104*1 -29080*1 -29056*1 -29024*1 -29016*1 -28996*1 -28980*1 -28968*2 -28916*1 -28900*1 -28684*1 -28636*1 -28572*1 -28568*1 -28560*1 -28556*1 -28520*1 -28504*1 -28500*1 -28488*1 -28360*1 -28324*1 -28312*1 -28268*1 -28264*1 -28176*1 -28156*1 -28140*1 -28092*1 -28044*1 -27948*1 -27516*1 -27348*1 -27336*1 -27332*1 -27324*1 -27264*1 -27156*1 -27076*1 -27044*1 -26856*1 -26800*1 -26780*1 -26588*1 -25832*2 -25724*1 -25192*1 -23828*1
7,0,-32336*1 -31844*1 -30544*1 -30444*1 -30344*2 -30336*1 -30220*1 -30104*1 -30100*1 -29956*1 -29880*1 -29672*1 -29668*1 -29488*1 -29468*1 -29180*1 -29104*1 -29080*1 -29056*1 -29024*1 -29016*1 -28996*1 -28980*1 -28968*2 -28916*1 -28900*2 -28684*1 -28624*1 -28572*1 -28568*1 -28556*1 -28520*1 -28504*1 -28500*1 -28488*1 -28324*1 -28312*1 -28268*1 -28264*1 -28176*1 -28140*1 -28092*1 -28044*1 -28028*1 -27980*1 -27948*1 -27756*1 -27516*1 -27348*1 -27336*1 -27332*1 -27324*1 -27264*1 -27076*1 -26800*1 -26744*1 -26612*1 -26588*1 -26480*1 -26036*1 -25832*1 -25724*1 -25192*2 -23828*1
8,0,-31844*2 -30344*2 -30336*1 -30220*1 -30104*1 -30100*1 -30024*1 -29900*1 -29672*1 -29668*1 -29504*1 -29488*1 -29412*1 -29056*1 -29024*1 -29016*1 -28996*1 -28968*2 -28916*1 -28900*2 -28724*1 -28684*1 -28680*1 -28676*1 -28624*1 -28572*1 -28568*1 -28540*1 -28520*1 -28504*1 -28500*1 -28488*1 -28324*1 -28312*1 -28268*1 -28264*1 -28212*1 -28184*1 -28176*1 -28140*1 -28092*1 -28044*1 -28028*1 -27980*1 -27948*1 -27756*1 -27516*1 -27336*1 -27332*1 -27324*1 -27264*1 -27076*1 -26716*1 -26612*1 -26588*1 -26480*1 -26224*1 -26036*1 -26020*1 -25832*1 -25192*3 -23828*1
9,0,-31844*1 -31688*1 -30344*2 -30336*1 -30104*1 -30100*1 -29668*1 -29644*1 -29504*1 -29500*1 -29412*1 -29292*1 -29056*2 -29024*1 -29016*1 -28996*1 -28968*2 -28900*2 -28736*1 -28724*1 -28684*1 -28680*1 -28676*1 -28624*1 -28572*1 -28568*1 -28540*1 -28520*1 -28504*1 -28500*1 -28488*1 -28368*1 -28324*1 -28264*1 -28212*1 -28184*1 -28176*1 -28140*1 -28044*1 -27848*1 -27756*1 -27664*1 -27648*1 -27632*1 -27408*1 -27348*1 -27332*1 -27280*1 -27264*1 -27076*1 -27024*1 -26716*1 -26624*1 -26612*1 -26588*1 -26480*1 -26224*1 -26036*1 -26020*1 -25832*1 -25192*3 -23828*1
