generation,count,mean,std,min,25%,50%,75%,max
1,500,247.9820,11.3795,204.0,240.0,248.0,256.0,282.0
2,500,249.1160,11.1349,204.0,241.0,249.0,257.0,282.0
3,500,250.2360,10.9737,210.0,242.0,249.0,258.0,282.0
4,501,251.3673,10.9333,214.0,243.0,251.0,259.0,282.0
5,501,252.4591,10.8163,214.0,244.0,252.0,260.0,282.0
6,501,253.4910,10.4968,214.0,246.0,253.0,260.0,282.0
7,502,254.4243,10.4729,214.0,247.0,255.0,261.0,287.0
8,502,255.4462,10.2885,214.0,249.0,256.0,262.0,287.0
9,502,256.4562,10.3224,214.0,249.0,256.5,263.0,293.0
10,502,257.4163,10.3827,216.0,249.0,257.0,263.0,293.0
11,502,258.4283,10.6556,216.0,250.0,257.0,264.0,297.0
12,502,259.4582,10.9295,216.0,251.0,258.0,265.0,297.0
13,502,260.4721,11.4330,216.0,252.0,259.0,267.0,306.0
14,502,261.3904,11.8781,216.0,253.0,260.0,267.0,306.0
15,504,262.3373,12.1279,216.0,254.0,262.0,269.0,310.0
16,505,263.3287,12.7051,216.0,256.0,262.0,270.0,310.0
17,505,264.2376,13.1472,216.0,256.0,262.0,270.0,310.0
18,505,265.2277,13.4736,216.0,257.0,263.0,272.0,310.0
19,506,266.2332,14.0883,216.0,257.0,263.0,273.0,310.0
20,506,267.1067,14.2877,223.0,257.0,263.0,273.0,310.0
21,507,268.1460,14.8709,226.0,258.0,264.0,274.0,310.0
22,508,269.0669,15.5567,226.0,258.0,264.0,276.0,310.0
23,508,270.1102,16.4074,226.0,258.0,264.5,276.0,310.0
24,508,271.1673,16.9161,227.0,258.0,265.0,278.0,313.0
25,509,272.0236,17.4060,229.0,259.0,266.0,280.0,313.0
26,510,273.0471,18.0147,236.0,259.0,267.0,282.75,313.0
27,510,274.0706,18.3462,249.0,260.0,267.0,283.0,314.0
28,511,275.0450,18.7787,252.0,261.0,267.0,290.5,316.0
29,511,276.0607,19.2148,252.0,262.0,267.0,294.0,316.0
30,511,277.0841,19.4661,255.0,263.0,268.0,296.5,316.0
31,511,278.0724,19.9858,256.0,263.0,270.0,298.0,317.0
32,512,279.1523,20.2839,256.0,263.0,270.0,298.0,317.0
33,512,280.1309,20.5647,256.0,263.0,272.0,299.0,317.0
34,513,281.0799,20.9123,242.0,264.0,273.0,300.0,317.0
35,513,282.1442,21.1373,256.0,264.0,275.0,301.0,317.0
36,513,283.2729,21.3934,256.0,265.0,276.0,304.0,317.0
37,514,284.3016,21.5027,256.0,265.0,276.0,305.0,317.0
38,514,285.2840,21.4933,257.0,265.0,277.5,307.0,317.0
39,514,286.2432,21.5031,257.0,266.0,280.0,313.0,317.0
40,514,287.2938,21.5644,257.0,266.0,283.0,313.0,317.0
41,514,288.3016,21.6697,258.0,267.0,284.0,314.0,317.0
42,514,289.2821,21.7067,258.0,267.0,285.0,315.0,318.0
43,514,290.3502,21.6819,258.0,267.0,287.0,316.0,320.0
44,514,291.4008,21.5032,258.0,268.0,290.0,316.0,320.0
45,514,292.4805,21.3613,258.0,270.0,291.0,316.0,320.0
46,514,293.5856,21.3448,258.0,272.0,292.5,316.0,320.0
47,514,294.6089,21.1716,263.0,273.0,295.0,316.0,320.0
48,514,295.6712,20.9425,263.0,276.0,303.0,317.0,320.0
49,515,296.6485,20.6313,263.0,276.0,303.0,317.0,320.0
50,515,297.6971,20.3109,263.0,278.0,303.0,317.0,321.0
51,515,298.7243,20.0124,263.0,280.0,305.0,317.0,323.0
52,516,299.6376,19.7218,264.0,282.0,305.0,317.0,323.0
53,516,300.6415,19.5332,264.0,284.75,306.0,317.0,323.0
54,516,301.6996,19.1232,264.0,285.0,307.0,317.0,323.0
55,516,302.7888,18.6743,265.0,289.0,308.0,318.0,323.0
56,516,303.9380,18.1326,265.0,291.0,311.5,319.0,323.0
57,516,305.0814,17.4756,265.0,292.0,316.0,319.0,323.0
58,516,306.1240,16.8829,265.0,293.0,316.0,320.0,323.0
59,516,307.1434,16.3047,265.0,293.0,317.0,320.0,323.0
60,516,308.2093,15.7804,268.0,294.75,317.0,320.0,323.0
61,516,309.2713,15.1718,270.0,297.0,317.0,320.0,323.0
62,517,310.2166,14.5936,260.0,303.0,317.0,320.0,323.0
63,517,311.2824,13.7330,272.0,304.0,317.0,321.0,323.0
64,517,312.2979,12.8621,272.0,305.0,318.0,322.0,323.0
65,517,313.3424,11.7918,276.0,308.0,319.0,322.0,323.0
66,517,314.4429,10.5454,280.0,310.0,319.0,322.0,323.0
67,517,315.3772,9.7221,289.0,316.0,320.0,322.0,325.0
68,517,316.2921,9.0805,292.0,317.0,320.0,323.0,327.0
69,517,317.2650,8.4083,294.0,317.0,320.0,323.0,327.0
70,517,318.3733,7.6931,295.0,317.0,320.0,323.0,327.0
71,517,319.4043,6.9118,295.0,318.0,321.0,323.0,327.0
72,517,320.5184,5.3882,297.0,319.0,322.0,323.0,327.0
73,517,321.5687,4.0002,302.0,319.0,322.0,323.0,327.0
74,517,322.3598,3.2257,317.0,320.0,323.0,326.0,327.0
75,517,323.3017,3.1577,317.0,320.0,323.0,326.0,327.0
76,517,324.2418,2.7516,317.0,323.0,325.0,327.0,327.0
77,518,325.0000,2.2802,320.0,323.0,326.0,327.0,327.0
78,519,325.8015,1.5882,323.0,325.5,327.0,327.0,327.0
79,519,326.3969,1.1426,323.0,326.0,327.0,327.0,327.0
80,520,326.8365,0.3701,326.0,327.0,327.0,327.0,327.0
81,521,327.0000,0.0000,327,327.0,327.0,327.0,327
