,cost,solution
1,350,1 4 5 8 10 16 19 20 21 26 27 28 29 31 32 33 34 35 36 37 38 42 43 45 54 57 58 59 60 64 65 66 68 70 71 75 76 77 79 81 82 84 87 89 91 92 95 98 
2,344,1 4 6 8 11 13 14 15 17 18 20 21 22 23 24 29 31 35 36 37 38 39 46 47 48 50 54 56 58 62 65 67 69 71 73 74 78 81 83 85 88 89 91 93 94 95 96 100 
3,348,1 3 4 6 10 11 14 17 20 22 23 25 26 27 29 31 33 34 37 39 40 42 48 50 51 54 55 58 59 60 62 63 65 68 70 71 73 75 77 78 79 81 84 85 87 88 89 91 95 96 
4,353,1 4 5 7 8 15 20 21 24 27 29 31 32 33 35 38 40 42 43 44 52 53 56 57 58 60 63 64 66 68 71 74 75 76 78 79 82 84 87 89 91 92 96 97 98 99 100 
5,348,1 2 3 5 8 9 11 13 14 17 20 21 24 26 29 30 32 36 40 44 45 46 47 48 49 52 53 54 56 57 58 59 60 62 63 66 67 69 74 75 77 78 79 82 85 88 90 91 92 95 99 100 
6,350,1 3 4 5 6 8 11 12 17 20 24 26 29 31 34 36 38 39 46 47 48 51 54 56 58 59 60 63 65 67 69 71 73 74 76 77 78 81 82 84 85 87 88 91 92 93 95 98 100 
7,345,1 2 6 7 10 11 12 13 17 19 21 23 25 26 34 37 40 41 42 44 45 48 49 55 61 63 64 65 67 69 70 72 73 77 79 80 81 83 84 85 86 87 88 90 92 93 94 97 98 
8,358,1 4 5 8 10 11 15 19 20 21 26 27 29 31 35 36 40 42 45 47 48 49 51 54 56 57 58 60 62 65 67 68 69 70 71 73 75 76 77 78 79 81 82 84 85 87 89 91 92 95 98 
9,349,1 3 4 8 16 20 24 26 28 29 31 33 34 35 36 38 39 43 46 47 51 52 54 55 56 58 59 60 63 65 68 69 71 73 74 75 76 77 78 82 84 87 88 89 91 92 93 95 98 100 
10,358,1 3 4 8 10 11 19 20 21 26 27 29 31 35 36 40 42 45 47 48 51 54 56 57 58 59 60 62 65 67 68 69 70 71 73 75 76 77 78 79 81 82 84 85 87 89 91 92 95 98 
11,350,1 3 4 5 7 8 16 20 24 26 28 29 31 32 33 34 35 36 38 39 43 44 45 47 49 51 52 53 55 56 58 59 60 66 68 70 75 76 77 79 80 82 87 89 90 91 92 93 98 100 
12,351,1 3 6 10 12 13 14 16 17 20 23 25 26 29 31 34 35 36 39 45 46 48 49 51 54 56 58 59 60 61 65 67 69 70 73 76 78 81 83 84 85 87 88 90 92 93 95 98 
13,357,1 3 4 8 10 11 19 20 26 27 29 31 33 34 35 36 39 40 42 45 48 49 51 54 55 56 58 59 60 62 65 68 70 71 73 75 76 77 78 79 81 82 84 85 87 88 89 91 92 93 95 98 
14,349,1 4 5 8 11 13 14 15 20 21 24 29 31 35 38 40 42 46 47 52 53 54 56 57 58 60 62 63 65 66 67 68 71 73 74 75 76 78 79 82 85 87 91 92 95 96 97 98 99 100 
15,346,1 2 3 4 6 7 8 11 12 15 17 18 22 23 24 25 27 31 33 36 39 40 41 42 43 44 46 48 50 51 52 55 56 58 62 71 73 74 78 80 83 85 87 88 89 91 93 94 96 100 
16,349,1 3 4 5 7 8 14 15 20 22 23 24 27 29 31 32 33 34 35 38 39 40 42 43 44 48 50 52 53 55 58 60 63 64 66 68 71 74 75 76 78 80 86 87 89 91 96 97 100 
17,343,1 3 4 5 6 7 10 12 13 18 23 25 31 32 33 34 35 36 38 39 40 41 42 43 44 46 48 49 50 52 55 59 61 65 70 72 74 76 78 80 83 84 87 88 90 92 93 94 
18,356,1 3 4 8 10 11 19 20 24 26 27 29 31 33 34 35 36 38 39 40 42 49 54 55 56 58 59 60 65 68 69 71 73 74 75 76 77 78 81 82 84 85 87 89 91 92 93 95 98 
19,350,1 4 8 15 16 18 19 20 21 26 27 28 29 31 34 35 36 37 38 43 45 47 51 54 57 59 64 65 66 67 68 70 71 72 73 75 76 77 79 81 82 84 87 89 91 94 95 96 97 98 
20,348,1 4 8 10 19 20 21 26 29 31 33 34 35 40 42 43 44 45 47 48 51 52 53 54 57 58 59 60 63 64 65 67 68 70 73 75 76 77 78 79 81 82 84 86 87 88 90 91 92 93 98 
21,353,1 3 6 10 11 12 14 17 20 23 25 26 29 31 34 36 37 39 40 42 45 46 48 49 51 54 58 59 62 65 67 69 70 71 72 73 77 78 81 83 84 85 86 87 88 89 90 92 93 94 95 98 
22,349,1 4 6 10 11 13 14 15 17 18 20 21 22 23 25 26 27 29 30 31 35 37 39 40 42 45 46 48 50 54 62 65 67 69 70 71 72 73 75 78 81 83 84 85 88 89 91 94 95 96 
23,357,1 3 4 8 10 11 19 20 26 27 29 31 33 34 35 36 39 40 42 45 48 49 51 54 55 56 58 59 60 65 68 69 70 71 73 75 76 77 78 79 81 82 84 85 87 89 91 92 93 95 98 
24,348,1 4 5 8 10 19 20 21 26 28 29 31 32 33 34 35 37 38 40 42 43 44 45 47 53 57 58 59 60 63 64 66 67 68 70 75 76 77 79 80 81 82 84 86 87 89 90 91 92 97 98 
25,350,1 4 5 7 8 14 15 16 20 21 24 27 28 29 31 32 33 34 35 38 45 47 49 53 54 56 57 58 59 60 63 64 66 68 71 73 74 75 76 79 81 82 87 89 91 92 95 96 97 98 100 
26,358,1 4 5 8 10 11 15 19 20 21 26 27 29 31 35 36 40 42 45 48 49 51 54 56 57 58 60 62 65 67 68 69 70 71 73 75 76 77 78 79 81 82 84 85 87 89 91 92 95 98 
