750 56175 
1 569 1
1 33 1
1 309 1
1 106 1
1 484 1
1 581 1
1 561 1
1 456 1
1 73 1
1 20 1
1 298 1
1 208 1
1 667 1
1 356 1
1 320 1
1 721 1
1 610 1
1 437 1
1 103 1
1 49 1
1 55 1
1 722 1
1 595 1
1 109 1
1 289 1
1 113 1
1 384 1
1 87 1
1 107 1
1 258 1
1 513 1
1 221 1
1 634 1
1 222 1
1 196 1
1 604 1
1 598 1
1 301 1
1 527 1
1 677 1
1 200 1
1 503 1
1 469 1
1 343 1
1 406 1
1 177 1
1 331 1
1 307 1
1 525 1
1 467 1
1 132 1
1 151 1
1 543 1
1 708 1
1 429 1
1 563 1
1 607 1
1 556 1
1 573 1
1 623 1
1 198 1
1 65 1
1 622 1
1 143 1
1 227 1
1 85 1
1 560 1
1 230 1
1 88 1
1 43 1
1 461 1
1 750 1
1 455 1
1 191 1
1 635 1
1 565 1
1 127 1
1 586 1
1 134 1
1 462 1
1 423 1
1 535 1
1 523 1
1 147 1
1 655 1
1 304 1
1 403 1
1 163 1
1 207 1
1 424 1
1 155 1
1 678 1
1 8 1
1 703 1
1 123 1
1 432 1
1 477 1
1 214 1
1 91 1
1 676 1
1 601 1
1 727 1
1 483 1
1 707 1
1 602 1
1 693 1
1 669 1
1 552 1
1 205 1
1 452 1
1 181 1
1 689 1
1 522 1
1 16 1
1 79 1
1 185 1
1 515 1
1 421 1
1 35 1
1 397 1
1 7 1
1 498 1
1 562 1
1 338 1
1 485 1
1 380 1
1 327 1
1 203 1
1 394 1
1 453 1
1 165 1
1 142 1
1 714 1
1 470 1
2 151 1
2 701 1
2 466 1
2 502 1
2 297 1
2 478 1
2 515 1
2 108 1
2 658 1
2 48 1
2 746 1
2 301 1
2 208 1
2 559 1
2 10 1
2 694 1
2 194 1
2 609 1
2 220 1
2 320 1
2 748 1
2 305 1
2 551 1
2 740 1
2 11 1
2 233 1
2 69 1
2 432 1
2 276 1
2 91 1
2 207 1
2 628 1
2 611 1
2 129 1
2 536 1
2 313 1
2 451 1
2 325 1
2 111 1
2 707 1
2 118 1
2 385 1
2 540 1
2 123 1
2 649 1
2 592 1
2 266 1
2 735 1
2 520 1
2 249 1
2 308 1
2 50 1
2 654 1
2 137 1
2 42 1
2 650 1
2 493 1
2 610 1
2 337 1
2 713 1
2 185 1
2 274 1
2 602 1
2 681 1
2 13 1
2 60 1
2 339 1
2 116 1
2 400 1
2 354 1
2 28 1
2 126 1
2 66 1
2 579 1
2 55 1
2 690 1
2 596 1
2 711 1
2 499 1
2 558 1
2 459 1
2 363 1
2 19 1
2 31 1
2 620 1
2 734 1
2 141 1
2 460 1
2 159 1
2 79 1
2 597 1
2 575 1
2 152 1
2 724 1
2 328 1
2 427 1
2 278 1
2 372 1
2 172 1
2 16 1
2 662 1
2 44 1
2 216 1
2 747 1
2 64 1
2 280 1
2 417 1
2 189 1
2 183 1
2 115 1
2 285 1
2 135 1
2 139 1
2 178 1
2 144 1
2 211 1
2 5 1
2 624 1
2 527 1
2 223 1
2 725 1
2 312 1
2 171 1
2 217 1
2 570 1
2 695 1
2 526 1
2 514 1
2 133 1
2 538 1
2 646 1
2 659 1
2 534 1
2 131 1
2 678 1
2 268 1
2 584 1
2 626 1
2 303 1
2 88 1
2 457 1
2 358 1
2 736 1
2 539 1
2 652 1
2 472 1
2 202 1
2 401 1
2 70 1
2 347 1
2 622 1
2 100 1
2 750 1
2 426 1
2 142 1
2 446 1
