,cost,time,solution
1,351,3.856,1 5 8 13 14 15 16 20 21 24 26 28 29 31 35 38 45 46 47 51 52 53 54 56 57 58 60 61 62 63 64 65 66 67 68 69 73 75 76 79 81 82 86 87 90 92 95 97 98 99 100 
2,358,3.107,1 3 4 8 10 11 19 20 21 26 27 29 31 35 36 40 42 45 48 49 51 54 56 57 58 59 60 62 65 67 68 69 70 71 73 75 76 77 78 79 81 82 84 85 87 89 91 92 95 98 
3,357,4.715,1 3 4 8 10 11 19 20 26 27 29 31 33 34 35 36 39 40 42 45 48 49 51 54 55 56 58 59 60 65 68 69 70 71 73 75 76 77 78 79 81 82 84 85 87 88 89 91 92 93 95 98 
4,354,3.766,1 4 5 7 8 13 15 16 20 21 24 27 28 29 31 32 33 35 38 43 44 47 52 53 54 56 57 58 60 63 64 66 68 74 75 76 79 82 84 87 91 92 96 97 98 99 100 
5,358,4.455,1 4 5 8 10 11 15 19 20 21 26 27 29 31 35 36 40 42 45 47 48 49 51 54 56 57 58 60 62 65 67 68 69 71 73 75 76 77 78 79 81 82 84 85 87 89 91 92 95 98 
6,355,4.038,1 4 5 8 11 14 15 16 20 21 24 26 27 28 29 31 33 34 35 36 37 38 45 47 49 51 54 56 57 58 59 60 66 68 71 73 75 76 79 81 82 87 89 91 92 95 96 98 100 
7,350,3.155,1 4 5 6 8 10 16 19 20 21 26 28 29 31 33 34 35 37 38 42 43 45 47 51 53 54 57 58 59 60 63 64 65 67 68 70 73 75 76 77 79 81 82 84 87 90 91 92 93 95 98 
8,358,3.881,1 4 5 8 10 11 15 19 20 21 26 27 29 31 35 36 40 42 45 48 51 54 56 57 58 60 62 65 67 68 69 71 73 75 76 77 78 79 81 82 84 85 87 89 91 92 95 98 
9,355,5.135,1 3 4 5 8 10 13 14 16 20 21 24 26 29 31 35 36 40 45 46 47 48 51 52 53 54 56 57 58 59 60 62 63 65 67 68 69 73 75 76 78 79 81 82 85 87 88 90 91 92 93 95 98 100 
10,358,4.516,1 4 8 10 11 15 19 20 21 26 27 29 31 35 36 40 42 45 48 49 51 54 56 57 58 59 60 62 65 67 68 69 71 73 75 76 77 78 79 81 82 84 85 87 89 91 92 95 98 
11,358,4.467,1 4 5 8 10 11 15 19 20 21 26 27 29 31 35 36 40 42 45 47 48 49 51 54 56 57 58 59 60 62 65 67 68 69 70 71 73 75 76 77 78 79 81 82 84 85 87 89 91 92 95 98 
12,357,2.885,1 4 8 10 11 19 20 21 26 29 31 35 36 40 42 45 47 48 49 51 52 54 56 57 58 59 60 62 65 67 68 69 70 71 73 75 76 77 78 79 81 82 84 85 87 89 91 92 93 95 98 
13,358,4.258,1 3 4 8 10 11 19 20 26 27 29 31 33 35 36 39 40 42 45 48 49 51 54 55 56 57 58 59 60 62 65 68 70 71 73 75 76 77 78 79 81 82 84 85 87 89 91 92 95 98 
14,348,4.018,1 3 4 7 8 10 19 20 24 26 28 31 32 33 34 35 38 40 42 43 44 47 52 53 55 58 59 60 63 64 66 68 74 75 76 77 79 80 82 84 86 87 89 91 92 93 97 98 
