50 123 
1 21 1
1 49 1
1 3 1
1 32 1
2 15 1
2 6 1
2 29 1
2 4 1
3 36 1
3 27 1
3 23 1
4 13 1
4 36 1
4 19 1
5 43 1
5 21 1
5 19 1
5 20 1
6 40 1
6 22 1
6 24 1
6 18 1
6 34 1
6 44 1
6 10 1
7 38 1
7 37 1
7 23 1
7 17 1
8 13 1
8 20 1
8 34 1
8 30 1
8 25 1
8 35 1
9 48 1
9 47 1
9 15 1
10 20 1
10 47 1
10 44 1
11 41 1
11 35 1
11 26 1
11 40 1
11 18 1
12 25 1
12 18 1
12 26 1
13 21 1
13 15 1
13 39 1
13 34 1
14 26 1
14 36 1
15 35 1
15 16 1
15 41 1
15 39 1
15 47 1
15 24 1
16 28 1
16 31 1
16 30 1
16 50 1
16 44 1
16 21 1
16 42 1
17 33 1
17 35 1
17 37 1
18 37 1
18 48 1
18 35 1
18 34 1
19 46 1
19 29 1
20 30 1
20 50 1
21 29 1
21 40 1
21 42 1
21 44 1
22 49 1
22 42 1
23 33 1
24 37 1
24 34 1
24 31 1
25 38 1
25 29 1
26 42 1
26 47 1
26 46 1
26 50 1
27 41 1
27 40 1
27 38 1
28 40 1
28 38 1
29 47 1
29 39 1
29 41 1
29 38 1
30 45 1
31 44 1
32 39 1
37 49 1
38 44 1
38 47 1
38 39 1
38 40 1
38 48 1
39 43 1
39 47 1
40 46 1
41 47 1
42 46 1
42 50 1
44 46 1
46 47 1
46 49 1
47 48 1
