500 5000
1 19 3
1 22 2
1 30 3
1 66 2
1 155 2
1 172 3
1 204 2
1 211 2
1 225 1
1 280 1
1 314 -1
1 324 -1
1 333 2
1 344 2
1 355 -1
1 399 -1
1 400 2
1 423 2
1 424 2
1 447 1
1 498 1
2 66 -1
2 86 -1
2 88 3
2 105 -1
2 133 2
2 148 3
2 156 2
2 161 1
2 178 -1
2 204 3
2 205 1
2 210 3
2 241 2
2 251 1
2 272 3
2 311 3
2 314 3
2 438 3
2 459 2
2 483 2
2 484 -1
2 490 1
3 11 2
3 12 2
3 15 1
3 71 -1
3 97 -1
3 116 -1
3 127 2
3 141 3
3 172 3
3 183 3
3 189 3
3 216 -1
3 226 3
3 242 1
3 263 3
3 272 -1
3 335 1
3 380 2
3 416 3
3 448 1
3 456 3
3 491 1
4 19 2
4 24 3
4 69 1
4 72 1
4 75 2
4 112 -1
4 118 1
4 157 -1
4 160 2
4 167 1
4 187 3
4 190 2
4 200 -1
4 202 3
4 207 2
4 230 1
4 340 -1
4 387 2
4 395 3
4 414 2
4 445 1
5 52 3
5 58 -1
5 75 1
5 97 -1
5 110 2
5 124 2
5 125 3
5 136 1
5 146 2
5 259 2
5 271 2
5 282 -1
5 301 1
5 332 2
5 355 2
5 383 -1
5 391 3
5 401 3
5 419 3
5 431 2
5 452 3
5 462 1
5 471 2
5 476 1
5 490 1
5 498 -1
6 21 2
6 44 3
6 83 2
6 96 3
6 101 2
6 140 1
6 242 -1
6 304 1
6 365 3
6 373 3
6 385 3
6 408 2
6 461 -1
6 467 2
7 51 1
7 60 2
7 83 -1
7 95 -1
7 96 2
7 204 3
7 208 1
7 247 3
7 253 -1
7 296 -1
7 308 3
7 347 -1
7 366 1
7 401 1
7 407 -1
7 411 3
7 413 2
7 451 -1
7 454 3
7 466 -1
7 468 1
8 33 3
8 39 3
8 68 1
8 81 -1
8 130 1
8 140 -1
8 261 -1
8 294 1
8 302 3
8 353 1
8 373 2
8 399 1
8 428 3
8 471 2
9 34 3
9 48 1
9 60 1
9 62 2
9 98 1
9 113 1
9 118 1
9 119 1
9 135 1
9 138 3
9 152 -1
9 161 2
9 177 3
9 210 2
9 240 3
9 292 1
9 330 3
9 331 1
9 345 -1
9 351 -1
9 415 -1
9 423 1
9 436 2
10 28 -1
10 49 3
10 51 1
10 55 1
10 89 2
10 91 3
10 153 -1
10 193 1
10 204 2
10 207 3
10 264 2
10 269 2
10 273 1
10 281 2
10 328 2
10 331 2
10 389 2
10 401 -1
10 406 2
10 432 2
10 458 3
10 460 1
10 466 3
10 492 -1
10 500 2
11 18 2
11 38 3
11 83 1
11 88 -1
11 104 3
11 111 3
11 120 3
11 155 1
11 228 2
11 238 1
11 259 3
11 261 1
11 289 2
11 382 -1
11 390 2
11 392 1
11 409 3
11 450 1
11 455 1
11 466 1
11 479 -1
11 484 3
12 17 1
12 49 3
12 58 2
12 87 -1
12 155 -1
12 167 2
12 257 -1
12 268 1
12 271 1
12 274 2
12 276 2
12 282 2
12 286 2
12 288 2
12 290 3
12 292 2
12 387 3
13 43 -1
13 44 -1
13 55 2
13 64 3
13 113 1
13 121 1
13 123 1
13 134 1
13 148 2
13 255 2
13 289 1
13 305 3
13 318 -1
13 331 3
13 352 2
13 355 3
13 363 3
13 377 2
13 408 3
13 409 1
13 422 3
13 432 2
13 440 3
13 466 -1
13 480 3
14 55 2
14 87 1
14 117 -1
14 124 1
14 159 3
14 192 -1
14 217 -1
14 252 3
14 262 3
14 318 3
14 337 -1
14 340 -1
