297 1007
1 23 -100
1 60 -100
1 131 -44
1 135 -100
1 273 -100
2 124 -100
2 131 100
2 162 -100
2 226 -100
2 264 -100
2 297 -100
3 5 -100
3 64 -100
3 129 -100
3 131 100
3 161 -100
3 173 -100
4 59 -100
4 108 -100
4 131 -44
4 170 -100
4 181 -100
4 263 -100
5 41 -100
5 92 -100
5 131 100
5 144 -100
5 213 -100
5 247 -100
6 7 -100
6 13 -100
6 110 -100
6 131 100
6 236 -100
6 282 100
7 16 100
7 131 100
7 156 -100
7 159 -100
7 194 -100
7 252 -100
8 68 -100
8 131 -44
8 192 -100
8 206 -100
8 209 -100
9 49 -100
9 116 -100
9 131 100
9 137 -100
9 272 -100
10 71 -100
10 131 -44
10 221 -100
10 241 -100
10 277 -100
11 75 -100
11 82 -100
11 99 -100
11 117 -100
11 131 -44
11 154 -100
12 91 -100
12 100 -100
12 112 -100
12 124 -100
12 131 100
12 136 -100
12 266 100
13 131 100
13 153 -100
13 156 -100
13 159 -100
13 194 -100
14 131 -44
14 133 -100
14 153 -100
14 252 -100
14 278 -100
15 116 -100
15 131 100
15 145 -100
15 146 -100
15 280 -100
16 107 -100
16 131 100
16 174 -100
16 196 -100
16 296 -100
17 74 -100
17 96 -100
17 131 100
17 150 -100
17 230 -100
17 257 -100
17 270 100
18 66 -100
18 131 -44
18 167 -100
18 223 -100
18 234 -100
19 74 -100
19 87 -100
19 96 -100
19 131 100
19 140 100
19 150 -100
19 257 -100
20 59 -100
20 108 -100
20 131 -44
20 148 -100
20 170 -100
20 181 -100
21 30 -100
21 131 -44
21 200 -100
21 233 -100
21 284 -100
22 42 -100
22 47 -100
22 68 -100
22 131 100
22 215 -100
22 271 -100
22 283 -100
23 63 -100
23 131 -44
23 160 -100
23 190 -100
23 225 -100
24 42 -100
24 131 100
24 195 -100
24 266 -100
24 279 -100
24 292 -100
25 36 -100
25 127 -100
25 131 -44
25 210 -100
25 229 -100
25 258 -100
26 58 -100
26 131 100
26 186 -100
26 197 -100
26 212 -100
26 275 100
27 30 -100
27 131 -44
27 200 -100
27 233 -100
27 284 -100
28 51 -100
28 123 -100
28 131 -44
28 161 -100
28 246 -100
29 34 -100
29 52 -100
29 97 -100
29 131 -44
30 80 -100
30 131 -44
30 218 -100
30 253 -100
31 91 -100
31 100 -100
31 112 -100
31 131 100
31 136 -100
31 264 -100
31 292 100
32 114 100
32 131 100
32 195 -100
32 243 -100
32 266 -100
32 279 -100
32 292 -100
33 73 -100
33 107 -100
33 114 -100
33 121 -100
33 131 100
34 119 -100
34 131 -44
34 169 -100
34 179 -100
35 38 -100
35 55 -100
35 99 -100
35 129 -100
35 131 100
35 188 -100
35 251 -100
36 131 -44
36 164 -100
36 232 -100
36 256 -100
37 54 -100
37 56 -100
37 85 -100
37 131 100
37 172 -100
37 184 -100
38 41 -100
38 46 -100
38 95 -100
38 124 -100
38 131 100
38 220 -100
39 53 -100
39 131 100
39 157 -100
39 234 -100
39 250 -100
39 282 -100
40 67 -100
40 131 -44
40 185 -100
40 208 -100
41 55 -100
41 78 -100
41 99 -100
41 131 100
41 251 -100
42 101 -100
42 131 100
42 158 -100
42 262 -100
42 289 -100
43 131 -44
43 133 -100
43 153 -100
43 252 -100
43 278 -100
44 54 -100
44 56 -100
44 78 -100
44 131 100
44 172 -100
44 184 -100
44 272 -100
45 69 -100
45 131 -44
45 222 -100
45 254 -100
45 259 -100
46 55 -100
46 99 -100
46 131 100
46 173 -100
46 219 -100
46 251 -100
47 70 -100
47 131 100
47 155 -100
47 178 -100
47 183 -100
48 131 -44
48 189 -100
48 249 -100
48 260 -100
48 262 -100
48 286 -100
49 67 -100
49 131 100
49 165 -100
49 228 -100
49 238 -100
50 57 -100
50 58 -100
50 131 -44
50 180 -100
50 274 -100
51 131 -44
51 171 -100
51 203 -100
51 213 -100
51 293 -100
52 119 -100
52 131 -44
52 169 -100
52 174 -100
52 179 -100
53 104 -100
53 122 -100
53 131 100
53 139 -100
53 156 100
54 93 -100
54 98 -100
54 131 100
54 228 -100
55 95 -100
55 131 100
55 245 -100
55 297 -100
56 93 -100
56 131 100
56 228 -100
56 244 -100
57 131 -44
57 143 -100
57 255 -100
58 131 100
58 140 -100
58 216 -100
58 270 -100
59 73 -100
59 131 -44
59 239 -100
60 131 -44
60 160 -100
60 190 -100
60 225 -100
60 294 -100
61 124 -100
61 131 100
61 224 -100
61 226 -100
61 264 -100
61 297 -100
62 78 -100
62 85 -100
62 131 100
62 188 -100
62 219 -100
62 256 -100
63 77 -100
63 131 100
63 177 -100
63 207 -100
63 261 -100
63 291 -100
64 95 -100
64 131 100
64 144 -100
64 175 -100
64 213 -100
64 247 -100
65 98 -100
65 131 -44
65 193 -100
65 244 -100
65 265 -100
66 72 -100
66 83 -100
66 131 -44
66 132 -100
66 139 -100
67 94 -100
67 131 -44
67 151 -100
68 70 -100
68 131 100
68 155 -100
68 178 -100
69 96 -100
69 106 -100
69 126 -100
69 131 -44
69 134 -100
70 131 100
70 231 -100
70 271 -100
70 283 -100
71 86 -100
71 112 -100
71 131 -44
71 199 -100
71 276 -100
72 131 -44
72 167 -100
72 223 -100
72 234 -100
73 108 -100
73 131 -44
73 170 -100
73 181 -100
74 77 -100
74 131 100
74 259 -100
74 275 -100
75 131 -44
75 214 -100
75 220 -100
75 245 -100
76 98 -100
76 131 -44
76 193 -100
76 244 -100
76 265 -100
77 96 -100
77 131 100
77 150 -100
77 216 100
77 257 -100
78 102 -100
78 131 100
78 210 -100
78 268 -100
79 131 -44
79 189 -100
79 249 -100
79 260 -100
79 286 -100
79 289 -100
80 131 -44
80 200 -100
80 233 -100
80 284 -100
81 115 -100
81 131 -44
81 152 -100
81 211 -100
81 237 -100
82 131 -44
82 214 -100
82 220 -100
82 245 -100
83 131 -44
83 167 -100
83 223 -100
83 234 -100
84 110 100
84 121 -100
84 131 100
84 174 -100
84 196 -100
84 296 -100
85 95 -100
85 102 -100
85 131 100
85 210 -100
85 268 -100
86 131 -44
86 221 -100
86 241 -100
86 277 -100
87 131 100
87 177 -100
87 207 -100
87 261 -100
87 273 -100
87 291 -100
88 89 -100
88 131 100
88 176 -100
88 178 -100
88 197 -100
88 288 -100
89 131 100
89 205 -100
89 215 -100
89 270 -100
90 116 -100
90 131 100
90 145 -100
90 146 -100
90 147 -100
91 125 -100
91 131 100
91 187 -100
91 277 -100
92 131 100
92 138 -100
92 168 -100
92 218 -100
92 281 -100
92 291 100
93 131 100
93 137 -100
93 172 -100
93 184 -100
93 219 -100
94 131 -44
94 185 -100
94 208 -100
95 99 -100
95 131 100
95 251 -100
96 131 100
96 275 -100
97 119 -100
97 131 -44
97 169 -100
97 179 -100
97 196 -100
98 131 -44
98 149 -100
98 269 -100
99 131 100
99 226 -100
100 125 -100
100 131 100
100 187 -100
100 241 -100
101 131 100
101 202 -100
101 231 -100
101 243 -100
101 285 -100
102 131 100
102 188 -100
102 219 -100
102 232 -100
103 109 -100
103 131 -44
103 141 -100
103 198 -100
103 279 -100
103 287 -100
104 131 100
104 157 -100
104 223 -100
104 250 -100
104 282 -100
105 114 -100
105 131 100
105 174 -100
105 196 -100
105 236 100
105 296 -100
106 131 -44
106 222 -100
106 254 -100
106 259 -100
107 131 100
107 148 -100
107 263 -100
107 295 100
108 131 -44
108 239 -100
109 131 -44
109 142 -100
109 166 -100
109 182 -100
110 131 100
110 156 -100
110 159 -100
110 194 -100
110 278 -100
111 131 100
111 138 -100
111 168 -100
111 173 -100
111 218 -100
111 261 100
111 281 -100
112 125 -100
112 131 100
112 187 -100
113 131 -44
113 133 -100
113 153 -100
113 252 -100
113 278 -100
114 131 100
114 148 -100
114 263 -100
115 131 -44
115 147 -100
115 280 -100
116 131 100
116 157 -100
116 163 -100
116 237 -100
117 131 -44
117 214 -100
117 220 -100
117 245 -100
118 131 100
118 140 -100
118 216 -100
118 255 -100
118 270 -100
119 131 -44
120 121 100
120 131 100
120 195 -100
120 202 -100
120 266 -100
120 279 -100
120 292 -100
121 131 100
121 148 -100
121 263 -100
122 131 100
122 157 -100
122 167 -100
122 250 -100
122 282 -100
123 131 -44
123 144 -100
123 171 -100
123 203 -100
123 293 -100
124 128 -100
124 131 100
124 235 -100
125 131 100
125 136 -100
125 279 100
125 297 -100
126 131 -44
126 222 -100
126 254 -100
126 259 -100
127 131 -44
127 164 -100
127 232 -100
127 256 -100
128 131 100
128 226 -100
128 248 -100
128 264 -100
128 297 -100
129 131 100
129 144 -100
129 213 -100
129 217 -100
129 247 -100
130 131 -44
130 162 -100
130 224 -100
130 227 -100
130 248 -100
131 132 -44
131 133 -44
131 134 -44
131 135 -44
131 136 100
131 137 100
131 138 100
131 139 100
131 140 100
131 141 -44
131 142 -44
131 143 -44
131 144 100
131 145 100
131 146 100
131 147 -44
131 148 100
131 149 -44
131 150 100
131 151 -44
131 152 -44
131 153 -44
131 154 -44
131 155 100
131 156 100
131 157 100
131 158 100
131 159 100
131 160 -44
131 161 -44
